index,DateTime,Open,Close,High,Low,Volume,Previous_Close,Timestamp,Volume_weighted_avg_price,Number_of_transactions
0,2018-06-21 09:30:00-04:00,187.25,187.32,187.46,187.05,349930,186.5,1529587800000,187.3628,1195
1,2018-06-21 09:31:00-04:00,187.335,187.19,187.42,187.18,103051,186.5,1529587860000,187.2655,819
2,2018-06-21 09:32:00-04:00,187.2001,187.06,187.207,186.96,76954,186.5,1529587920000,187.0588,787
3,2018-06-21 09:33:00-04:00,187.055,187.1062,187.15,187.04,64784,186.5,1529587980000,187.0968,427
4,2018-06-21 09:34:00-04:00,187.1,187.13,187.21,187.03,48828,186.5,1529588040000,187.1073,533
5,2018-06-21 09:35:00-04:00,187.13,187.21,187.332,187.12,54897,186.5,1529588100000,187.2306,459
6,2018-06-21 09:36:00-04:00,187.2,187.27,187.36,187.18,47210,186.5,1529588160000,187.2628,452
7,2018-06-21 09:37:00-04:00,187.26,187.0093,187.26,186.96,56459,186.5,1529588220000,187.0993,530
8,2018-06-21 09:38:00-04:00,187.01,187.015,187.07,187,49086,186.5,1529588280000,187.0276,397
9,2018-06-21 09:39:00-04:00,187.01,187.08,187.1105,187.01,63638,186.5,1529588340000,187.0635,520
10,2018-06-21 09:40:00-04:00,187.08,187.15,187.17,187.03,61412,186.5,1529588400000,187.0921,459
11,2018-06-21 09:41:00-04:00,187.16,187.24,187.3,187.16,66851,186.5,1529588460000,187.2388,471
12,2018-06-21 09:42:00-04:00,187.25,187.4,187.4,187.22,61588,186.5,1529588520000,187.3119,606
13,2018-06-21 09:43:00-04:00,187.41,187.4601,187.49,187.37,73908,186.5,1529588580000,187.4383,543
14,2018-06-21 09:44:00-04:00,187.46,187.5599,187.64,187.44,106921,186.5,1529588640000,187.5474,837
15,2018-06-21 09:45:00-04:00,187.55,187.41,187.57,187.36,86016,186.5,1529588700000,187.474,632
16,2018-06-21 09:46:00-04:00,187.41,187.59,187.5959,187.41,53990,186.5,1529588760000,187.5337,494
17,2018-06-21 09:47:00-04:00,187.6,187.7614,187.81,187.6,158869,186.5,1529588820000,187.7176,977
18,2018-06-21 09:48:00-04:00,187.7572,187.71,187.79,187.7,69735,186.5,1529588880000,187.7576,460
19,2018-06-21 09:49:00-04:00,187.71,187.8,187.8,187.69,82158,186.5,1529588940000,187.7607,692
20,2018-06-21 09:50:00-04:00,187.81,187.98,187.9925,187.8,94622,186.5,1529589000000,187.9205,641
