index,DateTime,Open,Close,High,Low,Volume,Previous_Close
0,2018-04-17 09:30:00-04:00,57.77,57.63,57.8,57.55,4844,58.25
1,2018-04-17 09:30:05-04:00,57.6,57.56,57.63,57.55,665,58.25
2,2018-04-17 09:30:10-04:00,57.55,57.61,57.61,57.54,772,58.25
3,2018-04-17 09:30:15-04:00,57.58,57.57,57.59,57.55,93,58.25
4,2018-04-17 09:30:20-04:00,57.58,57.55,57.58,57.54,145,58.25
5,2018-04-17 09:30:25-04:00,57.55,57.55,57.55,57.55,95,58.25
6,2018-04-17 09:30:30-04:00,57.58,57.58,57.65,57.57,275,58.25
7,2018-04-17 09:30:35-04:00,57.6,57.63,57.65,57.6,53,58.25
8,2018-04-17 09:30:40-04:00,57.62,57.65,57.65,57.61,45,58.25
9,2018-04-17 09:30:45-04:00,57.6,57.63,57.63,57.6,21,58.25
10,2018-04-17 09:30:50-04:00,57.64,57.62,57.68,57.62,217,58.25
11,2018-04-17 09:30:55-04:00,57.67,57.61,57.68,57.61,48,58.25
12,2018-04-17 09:31:00-04:00,57.64,57.67,57.71,57.62,172,58.25
13,2018-04-17 09:31:05-04:00,57.62,57.61,57.65,57.57,455,58.25
14,2018-04-17 09:31:10-04:00,57.6,57.59,57.61,57.57,179,58.25
15,2018-04-17 09:31:15-04:00,57.58,57.45,57.58,57.41,697,58.25
16,2018-04-17 09:31:20-04:00,57.43,57.27,57.47,57.27,1675,58.25
17,2018-04-17 09:31:25-04:00,57.26,57.23,57.29,57.16,827,58.25
18,2018-04-17 09:31:30-04:00,57.17,57.17,57.22,57.16,538,58.25
19,2018-04-17 09:31:35-04:00,57.21,57.22,57.22,57.19,562,58.25
20,2018-04-17 09:31:40-04:00,57.24,57.26,57.28,57.22,286,58.25
21,2018-04-17 09:31:45-04:00,57.29,57.26,57.29,57.23,146,58.25
22,2018-04-17 09:31:50-04:00,57.28,57.35,57.37,57.27,172,58.25
