index,DateTime,Open,Close,High,Low,Volume,Previous_Close
0,2019-10-01 09:30:00-04:00,48.3,48.31,48.36,48.29,2509,48.17
1,2019-10-01 09:30:05-04:00,48.35,48.39,48.39,48.35,52,48.17
2,2019-10-01 09:30:10-04:00,48.4,48.46,48.46,48.37,654,48.17
3,2019-10-01 09:30:15-04:00,48.43,48.44,48.46,48.43,346,48.17
4,2019-10-01 09:30:20-04:00,48.43,48.43,48.43,48.4,37,48.17
5,2019-10-01 09:30:25-04:00,48.42,48.42,48.43,48.42,50,48.17
6,2019-10-01 09:30:30-04:00,48.45,48.43,48.45,48.42,27,48.17
7,2019-10-01 09:30:35-04:00,48.44,48.44,48.45,48.41,175,48.17
8,2019-10-01 09:30:40-04:00,48.44,48.44,48.44,48.44,5,48.17
9,2019-10-01 09:30:45-04:00,48.44,48.44,48.44,48.44,0,48.17
10,2019-10-01 09:30:50-04:00,48.43,48.43,48.43,48.43,14,48.17
11,2019-10-01 09:30:55-04:00,48.4,48.38,48.4,48.37,140,48.17
12,2019-10-01 09:31:00-04:00,48.38,48.38,48.38,48.37,0,48.17
13,2019-10-01 09:31:05-04:00,48.42,48.39,48.43,48.39,70,48.17
14,2019-10-01 09:31:10-04:00,48.39,48.39,48.39,48.39,0,48.17
15,2019-10-01 09:31:15-04:00,48.4,48.31,48.43,48.31,222,48.17
16,2019-10-01 09:31:20-04:00,48.35,48.36,48.36,48.34,20,48.17
17,2019-10-01 09:31:25-04:00,48.3,48.33,48.37,48.29,181,48.17
18,2019-10-01 09:31:30-04:00,48.32,48.4,48.4,48.32,208,48.17
19,2019-10-01 09:31:35-04:00,48.36,48.36,48.36,48.36,20,48.17
20,2019-10-01 09:31:40-04:00,48.33,48.49,48.49,48.33,228,48.17
21,2019-10-01 09:31:45-04:00,48.47,48.39,48.48,48.38,245,48.17
22,2019-10-01 09:31:50-04:00,48.44,48.43,48.44,48.43,10,48.17
23,2019-10-01 09:31:55-04:00,48.4,48.4,48.4,48.4,35,48.17
24,2019-10-01 09:32:00-04:00,48.42,48.46,48.46,48.42,45,48.17
25,2019-10-01 09:32:05-04:00,48.43,48.44,48.44,48.43,15,48.17
26,2019-10-01 09:32:10-04:00,48.44,48.44,48.44,48.44,7,48.17
27,2019-10-01 09:32:15-04:00,48.44,48.43,48.45,48.42,35,48.17
28,2019-10-01 09:32:20-04:00,48.4,48.42,48.42,48.4,10,48.17
29,2019-10-01 09:32:25-04:00,48.4,48.34,48.4,48.34,84,48.17
30,2019-10-01 09:32:30-04:00,48.34,48.34,48.34,48.34,5,48.17
31,2019-10-01 09:32:35-04:00,48.38,48.34,48.38,48.34,47,48.17
32,2019-10-01 09:32:40-04:00,48.37,48.37,48.37,48.32,45,48.17
33,2019-10-01 09:32:45-04:00,48.32,48.38,48.38,48.32,26,48.17
34,2019-10-01 09:32:50-04:00,48.35,48.29,48.35,48.29,227,48.17
35,2019-10-01 09:32:55-04:00,48.29,48.23,48.3,48.22,200,48.17
36,2019-10-01 09:33:00-04:00,48.2,48.2,48.25,48.2,85,48.17
37,2019-10-01 09:33:05-04:00,48.24,48.27,48.27,48.24,10,48.17
38,2019-10-01 09:33:10-04:00,48.29,48.31,48.32,48.28,80,48.17
39,2019-10-01 09:33:15-04:00,48.32,48.32,48.32,48.32,11,48.17
40,2019-10-01 09:33:20-04:00,48.35,48.38,48.38,48.34,25,48.17
41,2019-10-01 09:33:25-04:00,48.39,48.4,48.4,48.39,15,48.17
42,2019-10-01 09:33:30-04:00,48.38,48.37,48.39,48.37,144,48.17
43,2019-10-01 09:33:35-04:00,48.38,48.38,48.38,48.38,5,48.17
44,2019-10-01 09:33:40-04:00,48.38,48.38,48.38,48.37,20,48.17
45,2019-10-01 09:33:45-04:00,48.37,48.37,48.37,48.37,15,48.17
46,2019-10-01 09:33:50-04:00,48.35,48.36,48.37,48.35,10,48.17
47,2019-10-01 09:33:55-04:00,48.33,48.33,48.33,48.32,87,48.17
48,2019-10-01 09:34:00-04:00,48.33,48.32,48.38,48.3,108,48.17
49,2019-10-01 09:34:05-04:00,48.32,48.33,48.35,48.32,30,48.17
50,2019-10-01 09:34:10-04:00,48.32,48.34,48.36,48.32,45,48.17
51,2019-10-01 09:34:15-04:00,48.3,48.3,48.3,48.3,50,48.17
52,2019-10-01 09:34:20-04:00,48.37,48.37,48.38,48.33,35,48.17
53,2019-10-01 09:34:25-04:00,48.35,48.35,48.36,48.35,40,48.17
