index,DateTime,Open,Close,High,Low,Volume,Previous_Close,Timestamp,Volume_weighted_avg_price,Number_of_transactions
0,2021-07-09 09:30:00-04:00,653.185,656.355,658.55,653,425415,653.31,1625837400000,655.0819,5685
1,2021-07-09 09:31:00-04:00,656.19,651.795,656.69,650.75,151633,653.31,1625837460000,653.4181,3347
2,2021-07-09 09:32:00-04:00,652.2581,651.19,654.49,650.49,172327,653.31,1625837520000,652.5119,3290
3,2021-07-09 09:33:00-04:00,651.19,650.9622,651.6999,649.2686,156865,653.31,1625837580000,650.193,3615
4,2021-07-09 09:34:00-04:00,650.7001,649.89,651.92,649.5562,121085,653.31,1625837640000,650.5086,2804
5,2021-07-09 09:35:00-04:00,649.64,650.28,650.59,648.36,164262,653.31,1625837700000,649.4427,3286
6,2021-07-09 09:36:00-04:00,650.1,650.4299,651.17,649.38,100820,653.31,1625837760000,650.3464,2301
7,2021-07-09 09:37:00-04:00,650.62,650.6175,652.78,650.27,126074,653.31,1625837820000,651.7122,2547
8,2021-07-09 09:38:00-04:00,650.28,652.44,652.83,649.22,120900,653.31,1625837880000,650.8297,2399
9,2021-07-09 09:39:00-04:00,652.4,652,653.4838,651.79,126013,653.31,1625837940000,652.6712,2579
10,2021-07-09 09:40:00-04:00,651.56,650.11,651.84,649.65,81946,653.31,1625838000000,650.6836,1987
11,2021-07-09 09:41:00-04:00,650.27,651.76,651.78,650.13,60996,653.31,1625838060000,650.9418,1299
12,2021-07-09 09:42:00-04:00,651.71,651.7161,653.6899,651.25,127685,653.31,1625838120000,652.7817,2286
13,2021-07-09 09:43:00-04:00,651.29,651.165,651.4799,650,76347,653.31,1625838180000,650.6425,1780
14,2021-07-09 09:44:00-04:00,651.165,653.62,653.62,651.165,123445,653.31,1625838240000,652.8138,2117
15,2021-07-09 09:45:00-04:00,653.62,650.38,654.2192,650.35,137984,653.31,1625838300000,652.5559,2425
16,2021-07-09 09:46:00-04:00,650.4283,649.97,651.3999,649.6201,104585,653.31,1625838360000,650.3619,2088
17,2021-07-09 09:47:00-04:00,649.86,649.04,649.86,648.21,105044,653.31,1625838420000,648.8348,2275
18,2021-07-09 09:48:00-04:00,648.91,649.86,650.2299,648.5401,85997,653.31,1625838480000,649.3444,1706
19,2021-07-09 09:49:00-04:00,649.69,650.19,650.91,649.26,89631,653.31,1625838540000,650.0516,1693
20,2021-07-09 09:50:00-04:00,650.07,648.5316,650.33,648.49,73054,653.31,1625838600000,649.199,1486
21,2021-07-09 09:51:00-04:00,648.49,648.5789,649.72,648.36,54516,653.31,1625838660000,648.8927,1254
22,2021-07-09 09:52:00-04:00,648.85,647.66,649.49,644.69,126486,653.31,1625838720000,648.1927,2978
23,2021-07-09 09:53:00-04:00,647.51,648.73,648.83,647.45,55113,653.31,1625838780000,648.322,1359
24,2021-07-09 09:54:00-04:00,648.93,648.745,649.7,648.2811,63846,653.31,1625838840000,649.1362,1271
25,2021-07-09 09:55:00-04:00,648.75,647.99,649.09,647.88,77609,653.31,1625838900000,648.395,1218
26,2021-07-09 09:56:00-04:00,648.12,647.98,648.75,647.85,33436,653.31,1625838960000,648.25,810
27,2021-07-09 09:57:00-04:00,648.0928,649.37,649.42,648,50352,653.31,1625839020000,648.584,1166
28,2021-07-09 09:58:00-04:00,649.11,649.9401,650.21,648.96,77659,653.31,1625839080000,649.5884,1439
29,2021-07-09 09:59:00-04:00,650.11,651.21,651.5,649.85,99197,653.31,1625839140000,650.7784,1901
30,2021-07-09 10:00:00-04:00,651.0879,650.6869,651.0879,649.76,76258,653.31,1625839200000,650.5344,1714
31,2021-07-09 10:01:00-04:00,650.73,649.33,651.22,649.29,78901,653.31,1625839260000,650.3872,1453
32,2021-07-09 10:02:00-04:00,649.2301,649.87,650.1415,648.5,69573,653.31,1625839320000,649.2938,1396
33,2021-07-09 10:03:00-04:00,649.835,650,651.25,649.74,66804,653.31,1625839380000,650.6777,1301
34,2021-07-09 10:04:00-04:00,650.06,651.11,651.2694,650.01,53843,653.31,1625839440000,650.6161,1161
35,2021-07-09 10:05:00-04:00,651.2,650.1876,651.43,649.8,69169,653.31,1625839500000,650.6967,1258
36,2021-07-09 10:06:00-04:00,650.0021,652.3,652.3,649.8,88381,653.31,1625839560000,651.1642,1443
37,2021-07-09 10:07:00-04:00,652.0998,652.32,652.5899,651.26,97564,653.31,1625839620000,651.9754,1533
38,2021-07-09 10:08:00-04:00,652.31,653.0001,653.28,652.06,118126,653.31,1625839680000,652.8148,2200
39,2021-07-09 10:09:00-04:00,653,652.285,653.1199,652.1,58291,653.31,1625839740000,652.5007,953
40,2021-07-09 10:10:00-04:00,652.2837,652.2724,653.31,652.16,51354,653.31,1625839800000,652.6623,1092
41,2021-07-09 10:11:00-04:00,652.207,653.78,653.79,652.1332,91386,653.31,1625839860000,652.9399,1802
42,2021-07-09 10:12:00-04:00,653.68,652.11,653.79,652.1,90814,653.31,1625839920000,653.1437,1366
43,2021-07-09 10:13:00-04:00,652.1,651.93,652.5,651.37,66596,653.31,1625839980000,651.9723,1252
44,2021-07-09 10:14:00-04:00,651.73,652.13,652.3699,651.6,329005,653.31,1625840040000,651.9334,797
45,2021-07-09 10:15:00-04:00,652.27,651.635,652.277,651.4915,35930,653.31,1625840100000,651.7781,749
46,2021-07-09 10:16:00-04:00,651.6302,651.24,651.84,650.59,46328,653.31,1625840160000,651.1266,1030
47,2021-07-09 10:17:00-04:00,651.07,650.82,651.23,650.5,37359,653.31,1625840220000,650.8626,708
48,2021-07-09 10:18:00-04:00,650.94,650.74,651.4,650.69,26279,653.31,1625840280000,651.1133,675
49,2021-07-09 10:19:00-04:00,650.8435,651.175,651.53,650.68,38918,653.31,1625840340000,651.0834,770
50,2021-07-09 10:20:00-04:00,651.0807,650.94,651.31,650.6342,32731,653.31,1625840400000,650.9416,699
51,2021-07-09 10:21:00-04:00,650.95,652.2199,652.94,650.89,62372,653.31,1625840460000,652.2587,1226
52,2021-07-09 10:22:00-04:00,651.87,652.57,652.9099,651.7601,48100,653.31,1625840520000,652.3947,867
53,2021-07-09 10:23:00-04:00,652.39,652.7237,652.905,652.18,38934,653.31,1625840580000,652.618,863
54,2021-07-09 10:24:00-04:00,652.8,652.15,652.95,651.89,40429,653.31,1625840640000,652.3463,831
55,2021-07-09 10:25:00-04:00,652.38,653.3299,653.5,652.38,57451,653.31,1625840700000,653.0082,1105
56,2021-07-09 10:26:00-04:00,653.1644,652.6299,653.6,652.5,59196,653.31,1625840760000,653.1824,1126
57,2021-07-09 10:27:00-04:00,652.5,652.035,652.5999,651.87,35436,653.31,1625840820000,652.1133,805
58,2021-07-09 10:28:00-04:00,652.11,651.389,652.24,651,41318,653.31,1625840880000,651.3597,1002
59,2021-07-09 10:29:00-04:00,651.22,650.94,651.46,650.7,39328,653.31,1625840940000,651.0472,859
60,2021-07-09 10:30:00-04:00,651,650.19,651.0499,650.04,42493,653.31,1625841000000,650.3649,1180
61,2021-07-09 10:31:00-04:00,650.04,649.4621,650.1799,648.68,101757,653.31,1625841060000,649.4048,2132
62,2021-07-09 10:32:00-04:00,649.415,649.6427,649.77,648.92,43877,653.31,1625841120000,649.4281,853
63,2021-07-09 10:33:00-04:00,649.62,650.2999,650.3,649.1001,35276,653.31,1625841180000,649.7339,943
64,2021-07-09 10:34:00-04:00,650.1556,650.01,650.2999,649.86,29509,653.31,1625841240000,650.0695,760
65,2021-07-09 10:35:00-04:00,649.97,649.92,650.33,649.53,30007,653.31,1625841300000,649.9261,793
66,2021-07-09 10:36:00-04:00,649.99,649.8,650.26,649.71,25670,653.31,1625841360000,649.9478,719
67,2021-07-09 10:37:00-04:00,649.81,650.425,650.51,649.7,25695,653.31,1625841420000,650.0232,744
68,2021-07-09 10:38:00-04:00,650.4262,650.6784,651.1599,650.4262,33691,653.31,1625841480000,650.8024,861
69,2021-07-09 10:39:00-04:00,650.7149,650.8,651.1979,650.7149,18569,653.31,1625841540000,650.9439,627
70,2021-07-09 10:40:00-04:00,650.77,649.76,650.77,649.6988,29688,653.31,1625841600000,650.2435,890
71,2021-07-09 10:41:00-04:00,649.8675,649.86,650.07,649.75,16912,653.31,1625841660000,649.9057,530
72,2021-07-09 10:42:00-04:00,649.72,649.94,650.2,649.3101,30775,653.31,1625841720000,649.6647,770
73,2021-07-09 10:43:00-04:00,649.995,649.95,650.705,649.95,26570,653.31,1625841780000,650.3138,698
74,2021-07-09 10:44:00-04:00,650.015,650.6043,650.68,650.015,21415,653.31,1625841840000,650.4738,584
75,2021-07-09 10:45:00-04:00,650.45,649.58,650.6,649.48,31842,653.31,1625841900000,650.0877,704
76,2021-07-09 10:46:00-04:00,649.45,649.071,649.45,648.751,48234,653.31,1625841960000,649.0593,1336
77,2021-07-09 10:47:00-04:00,649.13,649.0124,649.2,648.81,19927,653.31,1625842020000,649.0188,629
78,2021-07-09 10:48:00-04:00,648.82,648.653,649.47,648.48,39566,653.31,1625842080000,648.9014,960
79,2021-07-09 10:49:00-04:00,649.02,649.68,649.89,648.8801,38192,653.31,1625842140000,649.5247,947
80,2021-07-09 10:50:00-04:00,649.61,649.46,650.26,649.27,32195,653.31,1625842200000,649.7751,714
81,2021-07-09 10:51:00-04:00,649.4,649.03,649.4099,648.7001,26380,653.31,1625842260000,648.9885,688
