Open,Close,High,Low,Volume,Previous_Close
58.72,59.14,59.28,58.55,11372,58.83
58.96,59.28,59.39,58.86,5820,58.83
59.24,59.24,59.39,59.07,5214,58.83
59.1,59.55,59.59,59.1,7413,58.83
59.49,59.56,59.75,59.47,9403,58.83
59.71,59.44,59.74,59.35,6443,58.83
59.52,59.52,59.59,59.35,5177,58.83
59.52,59.2,59.55,59.14,4817,58.83
59.19,59.22,59.4,59.14,4243,58.83
59.32,59.21,59.35,59.07,3888,58.83
59.08,59.09,59.29,58.94,4515,58.83
59.08,59.46,59.46,58.99,3796,58.83
59.29,59.32,59.51,59.27,2515,58.83
59.4,59.41,59.42,59.25,1782,58.83
59.36,59.12,59.47,59.09,2948,58.83
59.16,59.21,59.3,59.09,2002,58.83
59.24,59.04,59.28,59.0,1745,58.83
59.07,59.15,59.19,58.98,1733,58.83
59.11,59.03,59.19,58.98,1997,58.83
58.98,59.04,59.08,58.98,1291,58.83
59.07,59.2,59.28,59.0,2067,58.83
59.24,59.2,59.28,59.12,1495,58.83
59.16,59.24,59.31,59.15,1058,58.83
59.25,59.27,59.29,59.19,1212,58.83
59.24,59.31,59.37,59.21,2278,58.83
59.36,59.41,59.43,59.3,3756,58.83
59.38,59.39,59.53,59.34,5167,58.83
59.41,59.21,59.41,59.14,2032,58.83
59.17,59.11,59.25,59.01,1836,58.83
59.08,59.15,59.18,59.01,1956,58.83
59.08,59.08,59.18,59.06,2053,58.83
59.11,59.03,59.19,59.03,1320,58.83
59.06,58.81,59.09,58.76,3029,58.83
58.96,58.68,59.0,58.66,3005,58.83
58.75,58.88,58.9,58.68,1561,58.83
58.9,58.9,58.98,58.85,1384,58.83
58.94,58.99,59.0,58.86,1052,58.83
58.92,58.87,59.0,58.87,1445,58.83
58.93,58.95,58.97,58.86,1246,58.83
58.92,58.83,58.95,58.79,1471,58.83
58.88,58.86,58.89,58.8,912,58.83
58.89,58.96,58.97,58.8,1078,58.83
58.9,59.04,59.2,58.88,3674,58.83
59.09,59.16,59.25,59.03,2827,58.83
59.25,59.24,59.27,59.13,2639,58.83
59.2,59.23,59.26,59.14,1333,58.83
59.2,59.16,59.33,59.07,2501,58.83
59.1,59.06,59.2,59.03,1452,58.83
59.14,59.12,59.14,58.96,1546,58.83
59.12,59.11,59.12,59.02,1678,58.83
59.05,59.22,59.24,59.05,1171,58.83
59.22,59.21,59.26,59.13,1331,58.83
59.19,59.02,59.24,58.99,1327,58.83
59.04,59.15,59.23,58.99,1483,58.83
59.19,59.04,59.23,59.01,1091,58.83
59.02,58.94,59.05,58.9,1283,58.83
58.96,59.03,59.08,58.88,1450,58.83
58.92,59.04,59.08,58.92,1503,58.83
58.98,59.15,59.18,58.98,1992,58.83
59.12,59.22,59.3,59.11,2137,58.83
59.22,59.14,59.27,59.14,1069,58.83
59.19,59.17,59.2,59.08,520,58.83
59.12,59.12,59.18,59.09,375,58.83
59.13,59.22,59.28,59.09,965,58.83
59.26,59.32,59.32,59.16,1408,58.83
59.24,59.28,59.32,59.17,1061,58.83
59.21,59.12,59.34,59.1,1614,58.83
59.21,59.12,59.21,59.04,1720,58.83
59.09,58.96,59.13,58.96,996,58.83
59.04,58.95,59.07,58.91,1491,58.83
58.93,58.68,59.0,58.68,2421,58.83
58.77,58.82,58.84,58.66,3235,58.83
58.74,58.76,58.88,58.72,3708,58.83
58.75,58.71,58.8,58.66,2553,58.83
58.7,58.61,58.73,58.5,4233,58.83
58.54,58.69,58.7,58.54,3917,58.83
58.65,58.88,58.88,58.64,5053,58.83
58.81,58.78,58.88,58.77,5878,58.83
