Open,Close,High,Low,Volume,Previous_Close
44.17,43.59,44.31,43.47,19701,43.92
43.57,42.76,43.67,42.72,17807,43.92
43.08,42.83,43.08,42.56,25077,43.92
42.68,42.78,43.11,42.56,18319,43.92
42.93,42.85,42.96,42.65,13818,43.92
42.8,43.3,43.3,42.78,20338,43.92
43.15,43.1,43.3,43.01,11751,43.92
43.02,43.04,43.22,43.0,5845,43.92
43.04,43.45,43.47,43.0,13919,43.92
43.43,43.25,43.47,43.23,7257,43.92
43.28,43.23,43.29,43.16,5246,43.92
43.23,43.05,43.3,43.05,4488,43.92
43.17,43.2,43.21,43.05,3737,43.92
43.17,43.19,43.33,43.09,3485,43.92
43.11,43.25,43.34,43.09,3229,43.92
43.28,43.12,43.34,43.07,6196,43.92
43.13,43.07,43.14,43.02,4404,43.92
43.09,43.18,43.18,43.05,3567,43.92
43.11,42.78,43.22,42.77,13633,43.92
42.95,42.5,42.95,42.42,24666,43.92
42.65,42.44,42.65,42.4,9342,43.92
42.42,42.36,42.62,42.35,6937,43.92
42.48,42.66,42.72,42.31,9559,43.92
42.68,42.74,42.77,42.6,4005,43.92
42.75,42.83,42.86,42.66,5006,43.92
42.84,42.82,42.88,42.76,2727,43.92
42.81,42.69,42.83,42.69,2152,43.92
42.73,42.74,42.79,42.61,3424,43.92
42.72,42.79,42.79,42.67,1123,43.92
42.72,42.9,42.96,42.69,3363,43.92
42.92,43.0,43.05,42.88,4227,43.92
43.0,42.89,43.05,42.88,3190,43.92
42.93,42.91,42.95,42.85,1704,43.92
42.89,42.89,42.98,42.87,1391,43.92
42.93,42.85,42.94,42.81,1501,43.92
42.85,42.73,42.86,42.69,3646,43.92
42.71,42.77,42.8,42.7,1726,43.92
42.78,42.76,42.8,42.73,1422,43.92
42.75,42.85,42.88,42.74,2709,43.92
42.86,42.83,42.91,42.82,2415,43.92
42.82,42.85,42.85,42.75,1465,43.92
42.79,42.89,42.93,42.75,2105,43.92
42.86,42.89,42.96,42.82,1701,43.92
42.91,42.87,42.97,42.85,1236,43.92
42.92,42.92,42.96,42.86,2398,43.92
42.86,42.97,43.03,42.86,2699,43.92
43.01,43.1,43.1,42.97,2263,43.92
43.07,43.03,43.15,43.0,3387,43.92
43.05,42.94,43.05,42.94,2364,43.92
43.03,42.79,43.03,42.78,3452,43.92
42.83,42.81,42.85,42.75,2422,43.92
42.83,42.75,42.83,42.73,1370,43.92
42.81,42.54,42.81,42.44,5547,43.92
42.51,42.49,42.63,42.43,3160,43.92
42.46,42.43,42.56,42.43,2935,43.92
42.46,42.58,42.6,42.4,4812,43.92
42.47,42.48,42.6,42.45,3830,43.92
42.52,42.54,42.59,42.48,2586,43.92
42.5,42.58,42.67,42.5,5751,43.92
42.6,42.52,42.63,42.46,3389,43.92
42.58,42.49,42.58,42.46,1964,43.92
42.51,42.46,42.53,42.38,4961,43.92
42.41,42.46,42.48,42.38,3077,43.92
42.48,42.5,42.56,42.44,3302,43.92
42.53,42.51,42.59,42.46,3082,43.92
42.56,42.63,42.64,42.48,4431,43.92
42.48,42.84,42.86,42.48,5758,43.92
42.8,42.88,42.89,42.78,3612,43.92
42.89,42.98,43.0,42.84,3461,43.92
42.93,42.93,43.04,42.88,6975,43.92
42.9,42.84,42.95,42.84,2894,43.92
42.89,42.88,42.9,42.8,2560,43.92
42.82,42.92,42.96,42.8,2368,43.92
42.92,42.96,43.03,42.89,2856,43.92
42.98,43.0,43.03,42.94,2777,43.92
43.0,43.13,43.18,42.97,6926,43.92
43.13,43.04,43.18,43.04,7883,43.92
43.11,43.1,43.15,43.01,9417,43.92
