Eastern_Time,SIP_Timestamp,Weighted_Avg_Ask_Price,Total_Ask_Size,Weighted_Avg_Bid_Price,Total_Bid_Size
2017-10-03 09:30:00-04:00,1507037400000000000,154.11910588235278,2975,154.078415147265,3565
2017-10-03 09:31:00-04:00,1507037460000000000,154.2292902757625,6890,154.15409918744783,7138
2017-10-03 09:32:00-04:00,1507037520000000000,154.41169186875817,10515,154.31277168094215,7472
2017-10-03 09:33:00-04:00,1507037580000000000,154.3694045174534,3896,154.32388050508177,6494
2017-10-03 09:34:00-04:00,1507037640000000000,154.487488233837,4037,154.4432735135124,4625
2017-10-03 09:35:00-04:00,1507037700000000000,154.59394761089752,7597,154.5707830126083,6028
2017-10-03 09:36:00-04:00,1507037760000000000,154.93598551033574,42237,154.85623182711217,15270
2017-10-03 09:37:00-04:00,1507037820000000000,154.80802692236776,5423,154.7790486807872,5382
2017-10-03 09:38:00-04:00,1507037880000000000,154.74273076000944,4171,154.72487571406492,6477
2017-10-03 09:39:00-04:00,1507037940000000000,154.70841979249806,3759,154.68949545913225,4955
2017-10-03 09:40:00-04:00,1507038000000000000,154.74759748234604,6514,154.72809229410512,4529
2017-10-03 09:41:00-04:00,1507038060000000000,154.61769230769121,5213,154.60202080832292,7497
2017-10-03 09:42:00-04:00,1507038120000000000,154.4982562914614,9497,154.4748674750496,9319
2017-10-03 09:43:00-04:00,1507038180000000000,154.41250368622863,6782,154.39187618554908,5799
2017-10-03 09:44:00-04:00,1507038240000000000,154.45430899717232,6013,154.43311780506517,5212
2017-10-03 09:45:00-04:00,1507038300000000000,154.47482540225852,5842,154.45467606707436,5248
2017-10-03 09:46:00-04:00,1507038360000000000,154.46587809917318,7744,154.45028750540445,4626
2017-10-03 09:47:00-04:00,1507038420000000000,154.5018272512465,7618,154.4915214211076,4785
2017-10-03 09:48:00-04:00,1507038480000000000,154.5398563289585,4037,154.52778108108,3700
2017-10-03 09:49:00-04:00,1507038540000000000,154.65503885480638,7335,154.63830588235393,6375
2017-10-03 09:50:00-04:00,1507038600000000000,154.7197339069461,6276,154.70182525645532,5654
2017-10-03 09:51:00-04:00,1507038660000000000,154.59230737871977,4906,154.57428876829437,6081
2017-10-03 09:52:00-04:00,1507038720000000000,154.5708824742265,7275,154.55808180535988,5672
2017-10-03 09:53:00-04:00,1507038780000000000,154.5847087491302,8618,154.57081349693192,8150
2017-10-03 09:54:00-04:00,1507038840000000000,154.53768639207425,7672,154.5228130360215,7579
2017-10-03 09:55:00-04:00,1507038900000000000,154.48453432512105,6453,154.46124943207568,4402
2017-10-03 09:56:00-04:00,1507038960000000000,154.57661434599208,5925,154.56118826405773,4090
2017-10-03 09:57:00-04:00,1507039020000000000,154.56913089005346,2865,154.5533638443938,3496
2017-10-03 09:58:00-04:00,1507039080000000000,154.50462712519334,5176,154.4963250958672,4694
2017-10-03 09:59:00-04:00,1507039140000000000,154.37858665805197,6191,154.3638153846146,3900
2017-10-03 10:00:00-04:00,1507039200000000000,154.38078988588094,4469,154.36454909819557,3992
2017-10-03 10:01:00-04:00,1507039260000000000,154.41206106870078,5240,154.40705258406618,4431
2017-10-03 10:02:00-04:00,1507039320000000000,154.54812162824766,4078,154.53289811526932,3661
2017-10-03 10:03:00-04:00,1507039380000000000,154.5020409906061,2342,154.48881933181988,3083
2017-10-03 10:04:00-04:00,1507039440000000000,154.52166496685308,3922,154.50496628131017,4152
2017-10-03 10:05:00-04:00,1507039500000000000,154.5205757884039,4915,154.50678320312534,5120
2017-10-03 10:06:00-04:00,1507039560000000000,154.52557142857174,5390,154.50593740986363,6934
2017-10-03 10:07:00-04:00,1507039620000000000,154.50731744344915,6587,154.49213806070324,7446
2017-10-03 10:08:00-04:00,1507039680000000000,154.46190031152554,8025,154.45765486725548,8362
2017-10-03 10:09:00-04:00,1507039740000000000,154.40626586397647,6146,154.39725632281773,7038
2017-10-03 10:10:00-04:00,1507039800000000000,154.44352883072,8099,154.42668514412284,7216
2017-10-03 10:11:00-04:00,1507039860000000000,154.38735172793204,10909,154.36589483119462,10041
2017-10-03 10:12:00-04:00,1507039920000000000,154.2306750401476,17436,154.22950127411588,13735
2017-10-03 10:13:00-04:00,1507039980000000000,154.1611828781834,6518,154.14560720775353,6604
2017-10-03 10:14:00-04:00,1507040040000000000,154.09230555072182,11494,154.0939834077305,71238
2017-10-03 10:15:00-04:00,1507040100000000000,154.12943650213865,9583,154.1105748265609,9081
2017-10-03 10:16:00-04:00,1507040160000000000,154.1530835952223,7955,154.13066053639858,6525
2017-10-03 10:17:00-04:00,1507040220000000000,154.17632529010737,5429,154.15140327494314,5252
2017-10-03 10:18:00-04:00,1507040280000000000,154.1991117917306,14366,154.17206070889875,5304
2017-10-03 10:19:00-04:00,1507040340000000000,154.20196737421392,5088,154.1855550865348,2369
2017-10-03 10:20:00-04:00,1507040400000000000,154.22226465182771,4897,154.21305767894387,2878
2017-10-03 10:21:00-04:00,1507040460000000000,154.28808918669208,4328,154.27492002369738,3376
2017-10-03 10:22:00-04:00,1507040520000000000,154.34849440188484,6788,154.33752745098104,5100
2017-10-03 10:23:00-04:00,1507040580000000000,154.3286614349785,4460,154.31347202295498,3485
2017-10-03 10:24:00-04:00,1507040640000000000,154.3955560897438,6240,154.3838000735017,5442
2017-10-03 10:25:00-04:00,1507040700000000000,154.32355186480194,3432,154.31186526743338,2954
2017-10-03 10:26:00-04:00,1507040760000000000,154.26843314763192,4308,154.25576869806073,2888
2017-10-03 10:27:00-04:00,1507040820000000000,154.20081523161437,7642,154.18524286581555,6588
2017-10-03 10:28:00-04:00,1507040880000000000,154.11104400166113,4818,154.09454446143815,4577
2017-10-03 10:29:00-04:00,1507040940000000000,154.17805364067317,9284,154.1617142436729,6796
2017-10-03 10:30:00-04:00,1507041000000000000,154.18598451862468,4134,154.17289736070444,3410
2017-10-03 10:31:00-04:00,1507041060000000000,154.22012326656443,7139,154.2123414056342,7598
2017-10-03 10:32:00-04:00,1507041120000000000,154.2109841827776,10242,154.20243538196428,6964
2017-10-03 10:33:00-04:00,1507041180000000000,154.2765240838343,8159,154.26762025316364,9085
2017-10-03 10:34:00-04:00,1507041240000000000,154.3720873644088,10233,154.3638138558435,10003
2017-10-03 10:35:00-04:00,1507041300000000000,154.36320129207726,5882,154.35123299319648,4704
2017-10-03 10:36:00-04:00,1507041360000000000,154.37531639004018,7712,154.36157625383856,8793
2017-10-03 10:37:00-04:00,1507041420000000000,154.3283030480652,6824,154.31813178584693,8013
2017-10-03 10:38:00-04:00,1507041480000000000,154.37940321477487,5848,154.36769318440852,4387
2017-10-03 10:39:00-04:00,1507041540000000000,154.37408495255613,8852,154.36486024250172,7835
2017-10-03 10:40:00-04:00,1507041600000000000,154.37639521956626,7196,154.36550802139163,6919
2017-10-03 10:41:00-04:00,1507041660000000000,154.37558447038955,7109,154.3647113358631,4746
2017-10-03 10:42:00-04:00,1507041720000000000,154.3784538074986,5174,154.36896576151162,4235
2017-10-03 10:43:00-04:00,1507041780000000000,154.38241837837845,9250,154.37215359828116,5586
2017-10-03 10:44:00-04:00,1507041840000000000,154.33308066759417,5752,154.32187143120262,5429
2017-10-03 10:45:00-04:00,1507041900000000000,154.26061977789564,9455,154.2479914973044,9644
2017-10-03 10:46:00-04:00,1507041960000000000,154.2593433867418,6366,154.2462843182872,4298
2017-10-03 10:47:00-04:00,1507042020000000000,154.30581449275363,5175,154.29305891848313,4956
2017-10-03 10:48:00-04:00,1507042080000000000,154.3476565694107,5381,154.33946880651064,4424
2017-10-03 10:49:00-04:00,1507042140000000000,154.36023433386012,3798,154.35033824331586,1833
2017-10-03 10:50:00-04:00,1507042200000000000,154.35878406708667,8109,154.34607472215518,4229
2017-10-03 10:51:00-04:00,1507042260000000000,154.3682220204894,7711,154.35423442205303,4317
2017-10-03 10:52:00-04:00,1507042320000000000,154.3658397186275,7961,154.35289232817613,6009
2017-10-03 10:53:00-04:00,1507042380000000000,154.27174274884467,12136,154.2557784339705,9821
2017-10-03 10:54:00-04:00,1507042440000000000,154.3077539697725,5227,154.2971942303887,5061
2017-10-03 10:55:00-04:00,1507042500000000000,154.34766864175046,4388,154.33856775300265,3498
2017-10-03 10:56:00-04:00,1507042560000000000,154.45550051072505,19580,154.45408328340318,13352
2017-10-03 10:57:00-04:00,1507042620000000000,154.54479229770683,27732,154.53283625362383,7933
2017-10-03 10:58:00-04:00,1507042680000000000,154.4597044964464,12521,154.4476562855187,4399
2017-10-03 10:59:00-04:00,1507042740000000000,154.44783650891105,6508,154.4331478120581,4959
2017-10-03 11:00:00-04:00,1507042800000000000,154.3779912578909,10295,154.36391474619782,6639
2017-10-03 11:01:00-04:00,1507042860000000000,154.37177163198257,18260,154.36574080381573,5872
