Eastern_Time,SIP_Timestamp,Weighted_Avg_Ask_Price,Total_Ask_Size,Weighted_Avg_Bid_Price,Total_Bid_Size
2020-06-03 09:30:00-04:00,1591191000000000000,324.92126356618115,53626,324.1292251291444,6001
2020-06-03 09:31:00-04:00,1591191060000000000,323.41366863905637,2873,323.37363560962007,3617
2020-06-03 09:32:00-04:00,1591191120000000000,323.06373307543583,3619,323.0123981623274,3265
2020-06-03 09:33:00-04:00,1591191180000000000,323.38088490618856,3571,323.2916465299222,3559
2020-06-03 09:34:00-04:00,1591191240000000000,323.6859665205247,2509,323.63490077653114,3477
2020-06-03 09:35:00-04:00,1591191300000000000,323.1728996404057,3059,323.1518191304322,2875
2020-06-03 09:36:00-04:00,1591191360000000000,323.27132874728215,2762,323.21915196743583,2948
2020-06-03 09:37:00-04:00,1591191420000000000,323.07343618057985,3079,323.0360845896153,2388
2020-06-03 09:38:00-04:00,1591191480000000000,322.71500984898285,3046,322.67263721185617,3644
2020-06-03 09:39:00-04:00,1591191540000000000,322.97683876092196,2518,322.9243524761673,4301
2020-06-03 09:40:00-04:00,1591191600000000000,323.3192236537813,3027,323.2664953095679,2665
2020-06-03 09:41:00-04:00,1591191660000000000,323.6119598874007,2842,323.53137220517374,2281
2020-06-03 09:42:00-04:00,1591191720000000000,323.75844140625,2560,323.71774952320425,1573
2020-06-03 09:43:00-04:00,1591191780000000000,323.87274489796215,1960,323.8294608150478,1595
2020-06-03 09:44:00-04:00,1591191840000000000,323.9670223214283,2240,323.9258595766651,1937
2020-06-03 09:45:00-04:00,1591191900000000000,324.03353205582994,4227,323.9847879177366,3112
2020-06-03 09:46:00-04:00,1591191960000000000,324.23708265139055,2444,324.1983921837489,2917
2020-06-03 09:47:00-04:00,1591192020000000000,324.2067056856192,2392,324.16755533199336,2982
2020-06-03 09:48:00-04:00,1591192080000000000,323.9559259259268,2835,323.9221039903249,3308
2020-06-03 09:49:00-04:00,1591192140000000000,323.9935303265958,3858,323.96312661499013,5418
