Eastern_Time,SIP_Timestamp,Weighted_Avg_Ask_Price,Total_Ask_Size,Weighted_Avg_Bid_Price,Total_Bid_Size
2016-04-19 09:30:00-04:00,1461072600000000000,253.4660714285718,364,252.97734724292127,671
2016-04-19 09:31:00-04:00,1461072660000000000,253.06244186046501,172,252.78468468468463,111
2016-04-19 09:32:00-04:00,1461072720000000000,252.94423076923078,52,252.78238095238106,21
2016-04-19 09:33:00-04:00,1461072780000000000,252.92016949152548,59,252.75571428571433,56
2016-04-19 09:34:00-04:00,1461072840000000000,253.3037037037039,216,253.00290816326523,196
2016-04-19 09:35:00-04:00,1461072900000000000,253.93095348837204,430,253.45095890410957,511
2016-04-19 09:36:00-04:00,1461072960000000000,254.0591780821919,146,253.56077348066296,181
2016-04-19 09:37:00-04:00,1461073020000000000,252.74282178217823,606,252.60241717791487,815
2016-04-19 09:38:00-04:00,1461073080000000000,251.89281355932226,590,251.53512536443134,1715
2016-04-19 09:39:00-04:00,1461073140000000000,252.19534412955485,247,251.70295202952045,271
2016-04-19 09:40:00-04:00,1461073200000000000,252.26185567010293,97,251.77376146789,109
2016-04-19 09:41:00-04:00,1461073260000000000,252.3543529411764,170,251.97236111111096,216
2016-04-19 09:42:00-04:00,1461073320000000000,253.2554518664047,1018,252.86433719433774,777
2016-04-19 09:43:00-04:00,1461073380000000000,253.54463215258838,367,253.0906479690522,1034
2016-04-19 09:44:00-04:00,1461073440000000000,253.17951807228934,249,252.6874999999998,180
2016-04-19 09:45:00-04:00,1461073500000000000,253.09519774011298,177,252.61120967741914,124
2016-04-19 09:46:00-04:00,1461073560000000000,253.0096330275228,109,252.5814400000001,125
2016-04-19 09:47:00-04:00,1461073620000000000,253.48989869329094,13622,252.83179259259103,2025
2016-04-19 09:48:00-04:00,1461073680000000000,253.41829015544047,193,253.01378461538468,325
2016-04-19 09:49:00-04:00,1461073740000000000,253.01063380281707,142,252.65760416666708,192
2016-04-19 09:50:00-04:00,1461073800000000000,252.89508982035915,334,252.5812978723405,470
2016-04-19 09:51:00-04:00,1461073860000000000,252.3356430446193,381,252.01407045009782,511
2016-04-19 09:52:00-04:00,1461073920000000000,252.06721052631582,570,251.73498684210546,760
2016-04-19 09:53:00-04:00,1461073980000000000,251.72931372549078,408,251.47529331514363,733
2016-04-19 09:54:00-04:00,1461074040000000000,251.86576023391805,342,251.54731707317103,656
2016-04-19 09:55:00-04:00,1461074100000000000,252.09760736196304,163,251.81008474576262,236
2016-04-19 09:56:00-04:00,1461074160000000000,251.8825475285174,526,251.4542212189616,443
2016-04-19 09:57:00-04:00,1461074220000000000,251.36071633237802,349,251.0221720733421,709
2016-04-19 09:58:00-04:00,1461074280000000000,251.32438596491198,342,251.08128888888893,225
2016-04-19 09:59:00-04:00,1461074340000000000,251.24188356164373,292,251.01348416289594,221
2016-04-19 10:00:00-04:00,1461074400000000000,251.19952941176427,595,250.93353344768417,583
2016-04-19 10:01:00-04:00,1461074460000000000,251.1623809523811,105,250.8135353535355,99
2016-04-19 10:02:00-04:00,1461074520000000000,251.00825000000003,80,250.7166666666667,105
2016-04-19 10:03:00-04:00,1461074580000000000,250.77251450676974,517,250.52147586206925,725
2016-04-19 10:04:00-04:00,1461074640000000000,250.61565420560765,214,250.41642857142878,252
2016-04-19 10:05:00-04:00,1461074700000000000,250.5223776223777,143,250.16655913978482,186
2016-04-19 10:06:00-04:00,1461074760000000000,250.5205162523902,523,250.31922535211285,426
2016-04-19 10:07:00-04:00,1461074820000000000,251.0500199203193,502,250.44368589743604,624
2016-04-19 10:08:00-04:00,1461074880000000000,251.29079545454564,176,250.9081115879829,233
2016-04-19 10:09:00-04:00,1461074940000000000,251.2993449781658,229,250.94948356807507,213
2016-04-19 10:10:00-04:00,1461075000000000000,251.36633333333344,180,251.0477192982457,171
2016-04-19 10:11:00-04:00,1461075060000000000,251.1704069767442,172,250.9464444444443,225
2016-04-19 10:12:00-04:00,1461075120000000000,251.37410256410254,78,251.09234939759028,166
2016-04-19 10:13:00-04:00,1461075180000000000,251.5113473684214,475,251.19444444444434,288
2016-04-19 10:14:00-04:00,1461075240000000000,251.45417910447773,67,251.23741379310343,58
2016-04-19 10:15:00-04:00,1461075300000000000,251.62080779944304,359,251.36403269754777,367
2016-04-19 10:16:00-04:00,1461075360000000000,251.55377128953802,411,251.4160399999998,250
2016-04-19 10:17:00-04:00,1461075420000000000,251.46023668639054,338,251.2811111111111,189
2016-04-19 10:18:00-04:00,1461075480000000000,251.0920545454542,550,250.95271860095386,629
2016-04-19 10:19:00-04:00,1461075540000000000,250.70873563218396,261,250.50787709497223,537
2016-04-19 10:20:00-04:00,1461075600000000000,250.84151898734166,158,250.66175908221786,523
2016-04-19 10:21:00-04:00,1461075660000000000,251.01058510638265,376,250.72758996728413,917
2016-04-19 10:22:00-04:00,1461075720000000000,251.02636363636358,66,250.80373831775702,107
2016-04-19 10:23:00-04:00,1461075780000000000,250.9441588785046,214,250.65257022471891,712
2016-04-19 10:24:00-04:00,1461075840000000000,250.70948275862068,116,250.50767605633797,142
2016-04-19 10:25:00-04:00,1461075900000000000,251.02093425605543,289,250.7755648535565,478
2016-04-19 10:26:00-04:00,1461075960000000000,251.5415616045847,698,251.27032894736865,608
2016-04-19 10:27:00-04:00,1461076020000000000,251.59431192660543,218,251.38723880597018,402
2016-04-19 10:28:00-04:00,1461076080000000000,251.60082352941177,85,251.36872881355936,118
2016-04-19 10:29:00-04:00,1461076140000000000,251.552641509434,53,251.37558823529423,102
2016-04-19 10:30:00-04:00,1461076200000000000,251.63348314606742,89,251.4207608695652,92
2016-04-19 10:31:00-04:00,1461076260000000000,251.63770370370366,135,251.35305000000005,200
2016-04-19 10:32:00-04:00,1461076320000000000,251.8955802469134,405,251.7149501661131,301
2016-04-19 10:33:00-04:00,1461076380000000000,251.91542028985526,345,251.77921182265987,609
2016-04-19 10:34:00-04:00,1461076440000000000,251.82056047197662,339,251.6481063122916,301
2016-04-19 10:35:00-04:00,1461076500000000000,251.70071428571478,252,251.5590366972478,218
2016-04-19 10:36:00-04:00,1461076560000000000,251.49379310344818,232,251.32720000000003,200
2016-04-19 10:37:00-04:00,1461076620000000000,251.43078817733993,203,251.2239466666667,375
2016-04-19 10:38:00-04:00,1461076680000000000,251.50821428571427,280,251.30658898305035,472
2016-04-19 10:39:00-04:00,1461076740000000000,251.81529100529073,567,251.55231578947394,475
