Eastern_Time,SIP_Timestamp,Weighted_Avg_Ask_Price,Total_Ask_Size,Weighted_Avg_Bid_Price,Total_Bid_Size
2019-05-23 09:30:00-04:00,1558618200000000000,193.2049267515927,3140,192.53080518844865,4086
2019-05-23 09:31:00-04:00,1558618260000000000,192.80685677252126,3086,192.0144661776689,2454
2019-05-23 09:32:00-04:00,1558618320000000000,193.00109052408655,1889,192.6452374301673,1432
2019-05-23 09:33:00-04:00,1558618380000000000,191.65828148903657,1961,191.61190978142974,6451
2019-05-23 09:34:00-04:00,1558618440000000000,189.80727249224424,3868,189.67231886903585,5093
2019-05-23 09:35:00-04:00,1558618500000000000,189.7327998640839,2943,189.3328768042965,2979
2019-05-23 09:36:00-04:00,1558618560000000000,189.4773168316828,2020,189.17501829439882,3553
2019-05-23 09:37:00-04:00,1558618620000000000,189.88750580945003,2582,189.56436870997314,2186
2019-05-23 09:38:00-04:00,1558618680000000000,189.93508532423246,2344,189.68347896440102,1854
2019-05-23 09:39:00-04:00,1558618740000000000,188.9812266553485,2356,188.40876260762587,4065
2019-05-23 09:40:00-04:00,1558618800000000000,187.7755226337442,2430,187.50784713375808,2355
2019-05-23 09:41:00-04:00,1558618860000000000,187.8792217898839,2313,187.57768092105266,1824
2019-05-23 09:42:00-04:00,1558618920000000000,187.80564220183436,2180,187.4657328664329,1999
2019-05-23 09:43:00-04:00,1558618980000000000,188.16870068027143,1470,188.09771448181246,2914
2019-05-23 09:44:00-04:00,1558619040000000000,187.26847572815558,3090,186.99551893753124,2033
2019-05-23 09:45:00-04:00,1558619100000000000,186.85342532467536,2464,186.6164709371298,1686
2019-05-23 09:46:00-04:00,1558619160000000000,187.7434356113432,2151,187.3975755847122,1753
2019-05-23 09:47:00-04:00,1558619220000000000,188.7617687861271,3460,188.74790451778338,3121
2019-05-23 09:48:00-04:00,1558619280000000000,188.84144021739124,1840,188.74386509635923,934
2019-05-23 09:49:00-04:00,1558619340000000000,188.89023923445006,1045,188.7040327868854,610
2019-05-23 09:50:00-04:00,1558619400000000000,189.68196605374703,4949,189.2535794792075,2573
2019-05-23 09:51:00-04:00,1558619460000000000,190.44426540284357,3376,190.34543191800793,2049
2019-05-23 09:52:00-04:00,1558619520000000000,191.30075969485054,3146,191.0363413413409,1998
2019-05-23 09:53:00-04:00,1558619580000000000,192.78170208655376,5176,192.7195348837213,2795
2019-05-23 09:54:00-04:00,1558619640000000000,194.55011400175354,6842,193.81791776028064,5715
2019-05-23 09:55:00-04:00,1558619700000000000,195.16478251121046,4460,194.89789315597537,4661
2019-05-23 09:56:00-04:00,1558619760000000000,194.82506849314944,3796,194.80227526663253,1969
2019-05-23 09:57:00-04:00,1558619820000000000,196.0847519666088,6229,195.77223195329034,3768
2019-05-23 09:58:00-04:00,1558619880000000000,198.06591121021705,9866,197.9807275685736,4302
2019-05-23 09:59:00-04:00,1558619940000000000,198.6533333333333,6,198.51307692307694,13
