Open,Close,High,Low,Volume,Previous_Close
618.31,618.05,618.99,618.0,646,604.17
618.05,617.95,618.16,616.85,643,604.17
617.96,618.4,619.51,617.76,782,604.17
618.5,617.59,619.0,617.27,826,604.17
617.5,617.6,618.38,617.0,766,604.17
617.6,617.36,618.17,616.58,916,604.17
617.39,612.56,618.8,612.15,1563,604.17
612.44,614.76,615.28,612.37,2209,604.17
614.63,614.03,615.16,614.02,942,604.17
614.15,611.3,614.19,611.3,1515,604.17
611.31,611.11,612.22,610.2,1806,604.17
611.11,612.0,612.04,609.3,1943,604.17
611.8,611.0,612.0,610.0,1124,604.17
610.96,610.04,611.49,609.8,1222,604.17
610.18,612.8,612.8,610.04,1287,604.17
612.61,614.12,614.27,611.48,1365,604.17
614.12,615.88,616.49,613.83,1538,604.17
615.76,615.87,616.0,615.19,942,604.17
615.92,615.32,615.98,614.75,653,604.17
615.32,616.86,616.96,615.14,704,604.17
616.86,617.5,618.5,616.61,1025,604.17
617.41,617.33,617.5,616.57,561,604.17
617.21,616.13,617.89,615.9,550,604.17
616.21,614.3,616.73,614.3,880,604.17
614.3,614.83,615.13,613.49,1133,604.17
614.79,613.11,615.01,613.07,480,604.17
613.12,614.38,614.43,613.12,717,604.17
614.23,614.67,615.49,614.01,808,604.17
614.56,615.06,615.14,613.52,640,604.17
615.01,614.1,615.03,613.77,313,604.17
614.1,614.51,614.65,613.67,559,604.17
614.53,613.89,615.05,613.6,576,604.17
613.89,611.64,614.29,611.5,995,604.17
611.51,611.25,612.76,611.22,724,604.17
611.42,612.7,612.7,611.2,729,604.17
612.8,613.29,613.31,612.22,485,604.17
613.59,613.55,614.19,613.01,553,604.17
613.46,612.65,613.72,612.32,435,604.17
612.54,611.45,613.11,611.4,580,604.17
611.5,611.07,611.63,610.17,655,604.17
611.02,611.22,611.37,610.44,699,604.17
611.29,613.15,613.5,611.08,724,604.17
613.17,614.85,615.15,612.84,1475,604.17
614.75,614.81,615.17,614.22,1035,604.17
614.93,614.41,615.08,614.16,529,604.17
614.5,614.26,614.8,614.23,326,604.17
614.2,613.47,614.36,612.73,596,604.17
613.42,612.52,613.48,612.38,515,604.17
612.49,613.56,613.66,612.4,755,604.17
613.76,611.91,613.89,611.22,546,604.17
611.79,611.13,612.38,611.1,570,604.17
611.07,611.93,612.81,610.8,696,604.17
612.17,612.08,612.23,611.5,166,604.17
612.03,612.86,613.28,611.82,473,604.17
612.88,612.5,613.39,612.3,304,604.17
612.5,611.48,612.78,611.2,555,604.17
611.5,611.83,612.59,611.34,408,604.17
611.64,607.98,611.88,607.95,1117,604.17
607.95,607.88,608.45,607.12,1077,604.17
607.88,607.29,608.21,606.34,1101,604.17
607.38,605.48,607.49,605.27,1486,604.17
605.58,607.18,607.7,605.37,1378,604.17
607.25,607.0,607.77,606.58,1033,604.17
606.88,605.71,608.28,604.44,1188,604.17
605.72,605.23,606.7,605.0,797,604.17
605.27,604.92,606.04,604.8,627,604.17
605.05,602.43,605.06,602.26,1382,604.17
602.29,603.64,604.0,602.29,1286,604.17
603.75,606.09,606.33,603.75,1444,604.17
606.21,606.16,606.94,605.66,1149,604.17
606.31,607.23,608.0,606.18,1305,604.17
607.18,608.42,609.23,606.53,952,604.17
608.53,608.24,608.73,608.03,687,604.17
608.35,607.2,608.35,606.82,782,604.17
607.07,608.22,608.22,606.94,334,604.17
608.5,609.34,609.8,608.45,804,604.17
609.41,610.79,611.0,609.0,1199,604.17
610.7,612.62,613.63,609.41,1727,604.17
612.62,613.8,613.88,612.08,1177,604.17
613.77,612.87,613.77,612.67,902,604.17
612.91,613.99,614.38,612.5,1125,604.17
614.07,613.51,614.07,612.69,437,604.17
613.55,613.32,613.74,612.81,502,604.17
613.33,613.49,614.2,612.8,560,604.17
