index,Start_DateTime,End_DateTime,Start_Timestamp,End_Timestamp,Open,Close,High,Low,Volume
0,2021-07-22 09:30:00-04:00,2021-07-22 15:59:00-04:00,1626960600000000000,1626983940000000000,656.4428,649.1232,662.17,644.6001,14325373.0
1,2021-07-23 09:30:00-04:00,2021-07-23 15:59:00-04:00,1627047000000000000,1627070340000000000,646.36,643.32,648.8,637.3001,13654963.0
2,2021-07-26 09:30:00-04:00,2021-07-26 15:59:00-04:00,1627306200000000000,1627329540000000000,650.97,658.2899,668.1999,647.11,21088832.0
3,2021-07-27 09:30:00-04:00,2021-07-27 15:59:00-04:00,1627392600000000000,1627415940000000000,663.4,644.78,666.5,627.24,31239912.0
4,2021-07-28 09:30:00-04:00,2021-07-28 15:59:00-04:00,1627479000000000000,1627502340000000000,646.995,646.97,654.9699,639.4001,14829507.0
5,2021-07-29 09:30:00-04:00,2021-07-29 15:59:00-04:00,1627565400000000000,1627588740000000000,649.79,677.36,683.69,648.8,28768715.0
6,2021-07-30 09:30:00-04:00,2021-07-30 15:59:00-04:00,1627651800000000000,1627675140000000000,671.758,687.5976,697.53,669.0,27668894.0
7,2021-08-02 09:30:00-04:00,2021-08-02 15:59:00-04:00,1627911000000000000,1627934340000000000,700.0,709.66,726.94,698.4,31223589.0
8,2021-08-03 09:30:00-04:00,2021-08-03 15:59:00-04:00,1627997400000000000,1628020740000000000,719.0,709.86,722.65,701.01,20476414.0
9,2021-08-04 09:30:00-04:00,2021-08-04 15:59:00-04:00,1628083800000000000,1628107140000000000,711.0,710.91,724.9,708.93,15589123.0
10,2021-08-05 09:30:00-04:00,2021-08-05 15:59:00-04:00,1628170200000000000,1628193540000000000,716.0,714.63,720.9499,711.41,12056262.0
11,2021-08-06 09:30:00-04:00,2021-08-06 15:59:00-04:00,1628256600000000000,1628279940000000000,711.9,698.89,716.33,697.63,14263646.0
12,2021-08-09 09:30:00-04:00,2021-08-09 15:59:00-04:00,1628515800000000000,1628539140000000000,710.17,713.73,719.03,705.13,13167237.0
13,2021-08-10 09:30:00-04:00,2021-08-10 15:59:00-04:00,1628602200000000000,1628625540000000000,713.99,709.99,716.59,701.88,12225515.0
14,2021-08-11 09:30:00-04:00,2021-08-11 15:59:00-04:00,1628688600000000000,1628711940000000000,712.71,707.78,715.18,704.21,9078480.0
15,2021-08-12 09:30:00-04:00,2021-08-12 15:59:00-04:00,1628775000000000000,1628798340000000000,706.34,722.1983,722.8,699.4,16728586.0
16,2021-08-13 09:30:00-04:00,2021-08-13 15:59:00-04:00,1628861400000000000,1628884740000000000,723.71,717.28,729.9,714.34,15120301.0
17,2021-08-16 09:30:00-04:00,2021-08-16 15:59:00-04:00,1629120600000000000,1629143940000000000,705.07,686.15,709.5,676.4,20914393.0
18,2021-08-17 09:30:00-04:00,2021-08-17 15:59:00-04:00,1629207000000000000,1629230340000000000,672.66,665.86,674.58,648.84,22094600.0
19,2021-08-18 09:30:00-04:00,2021-08-18 15:59:00-04:00,1629293400000000000,1629316740000000000,669.7479,689.29,695.77,669.35,18600395.0
20,2021-08-19 09:30:00-04:00,2021-08-19 15:59:00-04:00,1629379800000000000,1629403140000000000,678.21,673.47,686.55,667.59,13132815.0
21,2021-08-20 09:30:00-04:00,2021-08-20 15:59:00-04:00,1629466200000000000,1629489540000000000,682.85,680.09,692.1299,673.7,13208321.0
