Open,Close,High,Low,Volume,Previous_Close
66.22,65.86,66.25,65.84,6182,66.21
66.11,65.78,66.12,65.62,4325,66.21
65.74,65.74,65.88,65.62,3536,66.21
65.73,65.68,65.88,65.65,3535,66.21
65.68,65.64,65.76,65.57,4724,66.21
65.59,65.83,65.87,65.58,2898,66.21
65.76,65.64,65.91,65.64,2630,66.21
65.76,65.51,65.81,65.5,3892,66.21
65.77,65.63,65.77,65.5,3946,66.21
65.66,65.64,65.7,65.6,1676,66.21
65.62,65.52,65.67,65.52,2367,66.21
65.57,65.63,65.64,65.51,1654,66.21
65.58,65.77,65.77,65.57,1814,66.21
65.62,65.69,65.78,65.62,1811,66.21
65.74,65.72,65.76,65.64,867,66.21
65.65,65.74,65.79,65.64,981,66.21
65.71,65.75,65.76,65.68,1471,66.21
65.74,65.74,65.76,65.67,725,66.21
65.73,65.77,65.8,65.72,925,66.21
65.74,65.88,65.88,65.74,1474,66.21
65.86,66.04,66.04,65.84,3484,66.21
65.97,66.01,66.09,65.93,3776,66.21
66.05,65.96,66.06,65.94,1623,66.21
65.99,65.95,66.04,65.94,1343,66.21
65.95,65.97,65.98,65.87,1066,66.21
65.94,65.95,66.01,65.92,1005,66.21
65.99,66.04,66.04,65.92,1367,66.21
66.03,66.02,66.08,66.0,1640,66.21
66.02,66.1,66.1,65.98,2269,66.21
66.0,66.03,66.11,66.0,2196,66.21
66.05,65.93,66.05,65.93,1162,66.21
65.97,65.93,65.99,65.9,1058,66.21
65.93,65.97,65.99,65.92,614,66.21
65.98,65.99,66.03,65.96,608,66.21
66.02,65.97,66.02,65.96,476,66.21
66.02,66.04,66.04,65.94,1425,66.21
66.01,66.04,66.06,66.01,506,66.21
66.03,66.07,66.08,66.01,814,66.21
66.06,66.03,66.11,66.03,1154,66.21
66.1,66.01,66.1,65.94,1535,66.21
65.94,65.98,66.01,65.89,1153,66.21
65.92,66.01,66.01,65.92,350,66.21
65.97,65.94,66.02,65.93,562,66.21
66.01,65.94,66.01,65.91,666,66.21
65.92,65.94,65.95,65.87,888,66.21
65.93,66.0,66.0,65.91,280,66.21
65.99,65.96,66.0,65.91,794,66.21
65.95,65.94,66.0,65.91,607,66.21
65.97,65.94,65.97,65.93,342,66.21
65.94,65.98,65.99,65.91,829,66.21
65.96,66.0,66.02,65.96,435,66.21
66.0,65.95,66.02,65.95,811,66.21
65.98,66.01,66.02,65.94,1107,66.21
66.01,66.03,66.03,65.96,421,66.21
66.01,65.98,66.05,65.97,863,66.21
65.98,66.01,66.02,65.94,1177,66.21
65.95,66.05,66.07,65.94,1681,66.21
66.05,66.04,66.06,66.01,1074,66.21
66.04,66.0,66.05,65.98,531,66.21
66.0,65.97,66.02,65.96,1012,66.21
65.97,66.06,66.07,65.95,2004,66.21
66.03,65.96,66.07,65.95,1320,66.21
65.99,65.94,65.99,65.93,1210,66.21
65.96,65.95,65.97,65.93,1445,66.21
65.95,66.0,66.0,65.9,1387,66.21
65.94,65.96,66.01,65.92,1847,66.21
66.0,65.98,66.01,65.95,1470,66.21
65.99,66.01,66.03,65.97,1484,66.21
66.0,65.99,66.04,65.98,3386,66.21
66.0,66.01,66.04,65.97,4207,66.21
