index,DateTime,Open,Close,High,Low,Volume,Previous_Close,Timestamp,Volume_weighted_avg_price,Number_of_transactions
0,2019-07-05 09:30:00-04:00,190.15,190.32,190.335,190.09,365559,191.44,1562333400000,190.1877,1361
1,2019-07-05 09:31:00-04:00,190.33,190.33,190.45,190.31,185876,191.44,1562333460000,190.3745,1108
2,2019-07-05 09:32:00-04:00,190.33,190.26,190.41,190.2,103155,191.44,1562333520000,190.3015,672
3,2019-07-05 09:33:00-04:00,190.27,190.37,190.43,190.25,109666,191.44,1562333580000,190.3417,614
4,2019-07-05 09:34:00-04:00,190.37,190.23,190.39,190.1099,150670,191.44,1562333640000,190.2595,975
5,2019-07-05 09:35:00-04:00,190.22,190.16,190.22,190.04,179238,191.44,1562333700000,190.1438,1052
6,2019-07-05 09:36:00-04:00,190.18,190.1318,190.235,190.08,70372,191.44,1562333760000,190.1241,504
7,2019-07-05 09:37:00-04:00,190.12,190.19,190.21,190.055,109252,191.44,1562333820000,190.1193,689
8,2019-07-05 09:38:00-04:00,190.175,190.23,190.25,190.14,53894,191.44,1562333880000,190.2055,341
9,2019-07-05 09:39:00-04:00,190.23,190.28,190.32,190.16,56721,191.44,1562333940000,190.2494,374
10,2019-07-05 09:40:00-04:00,190.27,190.28,190.2852,190.155,45824,191.44,1562334000000,190.2058,324
11,2019-07-05 09:41:00-04:00,190.2701,190.2831,190.34,190.25,53561,191.44,1562334060000,190.3043,344
12,2019-07-05 09:42:00-04:00,190.28,190.2,190.32,190.17,100883,191.44,1562334120000,190.2117,573
13,2019-07-05 09:43:00-04:00,190.205,190.19,190.27,190.15,66981,191.44,1562334180000,190.2071,462
14,2019-07-05 09:44:00-04:00,190.19,190.14,190.19,190.1,52186,191.44,1562334240000,190.1552,323
15,2019-07-05 09:45:00-04:00,190.11,190.23,190.23,190.01,92633,191.44,1562334300000,190.0916,641
16,2019-07-05 09:46:00-04:00,190.24,190.24,190.3,190.235,55617,191.44,1562334360000,190.2684,353
17,2019-07-05 09:47:00-04:00,190.24,190.2681,190.2681,190.17,35919,191.44,1562334420000,190.2256,224
18,2019-07-05 09:48:00-04:00,190.25,190.315,190.335,190.23,19582,191.44,1562334480000,190.2939,157
19,2019-07-05 09:49:00-04:00,190.305,190.29,190.34,190.29,24245,191.44,1562334540000,190.3086,157
20,2019-07-05 09:50:00-04:00,190.29,190.24,190.29,190.23,56835,191.44,1562334600000,190.2455,305
21,2019-07-05 09:51:00-04:00,190.24,190.1621,190.24,190.14,25918,191.44,1562334660000,190.1995,145
22,2019-07-05 09:52:00-04:00,190.17,190.15,190.1842,190.08,58461,191.44,1562334720000,190.1144,268
23,2019-07-05 09:53:00-04:00,190.14,190.16,190.17,190.1,25559,191.44,1562334780000,190.1394,201
24,2019-07-05 09:54:00-04:00,190.15,190.09,190.155,190.09,17143,191.44,1562334840000,190.1167,155
25,2019-07-05 09:55:00-04:00,190.08,190,190.09,189.96,49440,191.44,1562334900000,190.0153,344
26,2019-07-05 09:56:00-04:00,189.99,189.87,189.99,189.83,78136,191.44,1562334960000,189.9001,462
27,2019-07-05 09:57:00-04:00,189.8749,189.89,189.92,189.79,55931,191.44,1562335020000,189.8557,339
28,2019-07-05 09:58:00-04:00,189.88,189.83,189.89,189.82,37248,191.44,1562335080000,189.8454,264
29,2019-07-05 09:59:00-04:00,189.82,189.65,189.825,189.6299,73976,191.44,1562335140000,189.7172,553
30,2019-07-05 10:00:00-04:00,189.66,189.62,189.74,189.62,122440,191.44,1562335200000,189.6695,704
31,2019-07-05 10:01:00-04:00,189.6201,189.64,189.71,189.6153,46277,191.44,1562335260000,189.6724,386
32,2019-07-05 10:02:00-04:00,189.63,189.64,189.7,189.62,56710,191.44,1562335320000,189.6705,284
33,2019-07-05 10:03:00-04:00,189.62,189.74,189.74,189.5966,59658,191.44,1562335380000,189.6502,314
34,2019-07-05 10:04:00-04:00,189.731,189.81,189.81,189.72,70263,191.44,1562335440000,189.7787,403
35,2019-07-05 10:05:00-04:00,189.8,189.8247,189.85,189.75,48948,191.44,1562335500000,189.8037,300
36,2019-07-05 10:06:00-04:00,189.825,189.95,189.95,189.8,308520,191.44,1562335560000,189.9018,1728
37,2019-07-05 10:07:00-04:00,189.93,190.01,190.01,189.92,118612,191.44,1562335620000,189.9593,705
38,2019-07-05 10:08:00-04:00,190,190.05,190.08,189.98,79231,191.44,1562335680000,190.0401,571
39,2019-07-05 10:09:00-04:00,190.055,190.03,190.055,190.0099,36627,191.44,1562335740000,190.0265,262
40,2019-07-05 10:10:00-04:00,190.03,190,190.03,189.93,34393,191.44,1562335800000,189.9644,214
41,2019-07-05 10:11:00-04:00,189.99,189.91,189.99,189.9,20149,191.44,1562335860000,189.9236,100
42,2019-07-05 10:12:00-04:00,189.8799,189.91,189.9199,189.85,19803,191.44,1562335920000,189.8889,125
43,2019-07-05 10:13:00-04:00,189.91,189.9,189.92,189.83,18151,191.44,1562335980000,189.876,165
44,2019-07-05 10:14:00-04:00,189.91,189.9,189.9366,189.8575,46446,191.44,1562336040000,189.8867,205
45,2019-07-05 10:15:00-04:00,189.9,189.93,189.97,189.84,76425,191.44,1562336100000,189.9127,488
