Open,Close,High,Low,Volume,MA5_Close,MA9_Close,MA21_Close,MA30_Close,Close_Prev_Close_Percentage,Open_Prev_Close_Percentage,High_Prev_Close_Percentage,Low_Prev_Close_Percentage,MA5_Close_Prev_Close_Percentage,MA9_Close_Prev_Close_Percentage,MA21_Close_Prev_Close_Percentage,Close_Open_Prev_Close_Percentage,High_Low_Prev_Close_Percentage,Close_Trend_5,Close_Trend_10,Close_Trend_15,Close_Trend_30,Time_Section_Index,Day,rsi_24,rsi_12,tsi,stoch,stoch_sig,roc,ao,aroon_indicator,trix,vortex_diff,psar_up,psar_down,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,bb_bbm_20,bb_bbh_20,bb_bbl_20,bb_bbw_20,bb_bbp_20,accDistIndexIndicator,forceIndexIndicator,mfi
53.74,53.9,54.17,53.71,20838,0.0,0.0,0.0,0.0,0.65,0.35,1.16,0.3,0.0,0.0,0.0,0.3,0.86,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.624000000000238,0.0,0.0
53.97,53.93,54.08,53.64,11880,0.0,0.0,0.0,0.0,0.71,0.78,0.99,0.17,0.0,0.0,0.0,-0.07,0.82,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000568,0.015000000000000568,-0.045000000000001705,0.11128628396550547,0.75,0.15599999999979672,0.0,0.0
54.0,53.93,54.08,53.7,7499,0.0,0.0,0.0,0.0,0.71,0.84,0.99,0.28,0.0,0.0,0.0,-0.13,0.71,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17,0.0,0.0,0.0,-0.010000000000005116,0.01828427124745957,-0.0382842712474698,0.10491198533926073,0.6767766952967099,1.7347368421050453,0.0,0.0
53.79,54.07,54.15,53.79,8496,0.0,0.0,0.0,0.0,0.97,0.45,1.12,0.45,0.0,0.0,0.0,0.52,0.67,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1606,0.0,0.0,0.0,-0.11250000000000426,0.019693040664016337,-0.24469304066402486,0.48998949419087473,0.9255140793906549,6.454736842105119,0.0,0.0
54.02,54.09,54.37,53.99,15555,53.98,0.0,0.0,0.0,1.01,0.88,1.53,0.82,0.8,0.0,0.0,0.13,0.71,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,0.0,0.0,0.0,-0.10600000000000165,0.05279546593023099,-0.2647954659302343,0.5883056680877025,0.8337626782321768,-0.9134210526315083,0.0,0.0
54.07,53.79,54.19,53.7,9716,53.96,0.0,0.0,0.0,0.45,0.97,1.2,0.28,0.77,0.0,0.0,-0.52,0.92,-0.21,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37,0.0,0.0,0.0,0.16166666666666174,0.3664158357058156,-0.043082502372492115,0.7590096161594782,0.1052080029791318,-7.060278195488761,0.0,0.0
53.87,53.8,53.96,53.7,7028,53.94,0.0,0.0,0.0,0.47,0.6,0.77,0.28,0.73,0.0,0.0,-0.13,0.49,-0.24,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37,0.0,0.0,0.0,0.13000000000000256,0.3472556098240105,-0.08725560982400538,0.8056948259744408,0.200813249183044,-8.68212434933518,0.0,0.0
53.85,53.99,54.07,53.78,6680,53.95,0.0,0.0,0.0,0.82,0.56,0.97,0.43,0.75,0.0,0.0,0.26,0.54,0.11,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3566,0.0,0.0,0.0,-0.05250000000000199,0.15456279240848403,-0.259562792408488,0.767787874515823,0.6267731382092826,-5.6876415907144215,0.0,0.0
54.0,53.98,54.04,53.83,7130,53.93,53.94,0.0,0.0,0.8,0.84,0.92,0.52,0.71,0.73,0.0,-0.04,0.39,-0.17,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.343468,0.0,0.0,0.0,-0.03777777777776947,0.1592620439792185,-0.23481759953475745,0.7305587854547629,0.5958633068201852,-2.631927305000274,0.0,0.0
53.95,54.26,54.29,53.94,9830,53.96,53.98,0.0,0.0,1.33,0.75,1.38,0.73,0.77,0.8,0.0,0.58,0.65,0.32,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.33059864,0.0,0.0,0.0,-0.28599999999999426,-0.018986891707534426,-0.5530131082924541,0.9894138225533028,1.0355542314550679,5.512929837856812,0.0,0.0
