Open,Close,High,Low,Volume,MA5_Close,MA9_Close,MA21_Close,MA30_Close,Close_Prev_Close_Percentage,Open_Prev_Close_Percentage,High_Prev_Close_Percentage,Low_Prev_Close_Percentage,MA5_Close_Prev_Close_Percentage,MA9_Close_Prev_Close_Percentage,MA21_Close_Prev_Close_Percentage,Close_Open_Prev_Close_Percentage,High_Low_Prev_Close_Percentage,Close_Trend_5,Close_Trend_10,Close_Trend_15,Close_Trend_30,Time_Section_Index,Day,rsi_24,rsi_12,tsi,stoch,stoch_sig,roc,ao,aroon_indicator,trix,vortex_diff,psar_up,psar_down,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,bb_bbm_20,bb_bbh_20,bb_bbl_20,bb_bbw_20,bb_bbp_20,accDistIndexIndicator,forceIndexIndicator,mfi
69.2,68.85,69.32,68.7,9399,0.0,0.0,0.0,0.0,0.1,0.61,0.79,-0.12,0.0,0.0,0.0,-0.51,0.9,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.851096774193736,0.0,0.0
68.96,68.55,69.0,68.44,6022,0.0,0.0,0.0,0.0,-0.33,0.26,0.32,-0.49,0.0,0.0,0.0,-0.6,0.81,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999147,0.4499999999999744,-0.14999999999999147,0.8733624454147977,0.25,-8.507311059908043,0.0,0.0
68.53,68.52,68.75,68.45,4153,0.0,0.0,0.0,0.0,-0.38,-0.36,-0.04,-0.48,0.0,0.0,0.0,-0.01,0.44,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.32,0.0,0.0,0.0,0.12000000000000455,0.4179932885150208,-0.17799328851501173,0.8682788126894414,0.29865318343577796,-10.722244393241546,0.0,0.0
68.49,68.86,68.92,68.44,4939,0.0,0.0,0.0,0.0,0.12,-0.42,0.2,-0.49,0.0,0.0,0.0,0.54,0.7,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3026,0.0,0.0,0.0,-0.16500000000000625,0.1557802986469028,-0.4857802986469153,0.9339261915624401,0.7571853706352862,-7.017994393241582,0.0,0.0
68.75,68.64,68.92,68.6,2458,68.68,0.0,0.0,0.0,-0.2,-0.04,0.2,-0.26,-0.15,0.0,0.0,-0.16,0.47,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.268096,0.0,0.0,0.0,0.04399999999999693,0.33426884090441433,-0.24626884090442047,0.8452298669396582,0.42420819288956046,-8.8614943932415,0.0,0.0
68.61,69.02,69.04,68.61,3815,68.72,0.0,0.0,0.0,0.35,-0.25,0.38,-0.25,-0.09,0.0,0.0,0.6,0.63,0.25,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23497216,0.0,0.0,0.0,-0.28000000000000114,0.08460023770334146,-0.6446002377033437,1.0608095365241275,0.8839821961770407,-5.4013781141719095,0.0,0.0
68.76,69.32,69.36,68.76,7994,68.87,0.0,0.0,0.0,0.79,-0.03,0.84,-0.03,0.13,0.0,0.0,0.81,0.87,1.12,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.44,0.0,0.0,0.0,0.0,-0.49714285714284756,0.030787255733500274,-1.0250729700191954,1.5341708693683307,0.970841542296422,1.5267552191612477,0.0,0.0
69.26,69.1,69.35,69.01,3625,68.99,0.0,0.0,0.0,0.47,0.7,0.83,0.33,0.31,0.0,0.0,-0.23,0.49,0.84,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4584,0.0,0.0,0.0,0.0,-0.2424999999999926,0.28425895815828994,-0.7692589581582752,1.529997336988077,0.7301811827252545,-0.17912713378009834,0.0,0.0
69.23,69.2,69.39,69.06,4520,69.06,68.9,0.0,0.0,0.61,0.65,0.89,0.41,0.41,0.17,0.0,-0.04,0.48,0.49,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.476432,0.0,0.0,0.0,0.0,-0.3044444444444565,0.23683889570281735,-0.8457277845917304,1.5713156989083203,0.7812246580151742,-0.8639756186285479,0.0,0.0
69.24,69.12,69.26,69.02,3474,69.15,68.93,0.0,0.0,0.49,0.67,0.7,0.35,0.54,0.22,0.0,-0.17,0.35,0.7,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.51297472,0.0,0.0,0.0,0.0,-0.2020000000000124,0.32887098244299295,-0.7328709824430177,1.5405873137438852,0.6902533823476585,-1.4429756186284108,0.0,0.0
69.1,69.08,69.16,69.02,2347,69.16,68.98,0.0,0.0,0.44,0.47,0.55,0.35,0.55,0.29,0.0,-0.03,0.2,0.09,0.33,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.54805573120001,0.0,0.0,0.0,0.0,-0.14727272727272123,0.3673915699570216,-0.661937024502464,1.4932364280133914,0.6430764947806158,-1.778261332914057,0.0,0.0
69.13,68.62,69.16,68.59,3599,69.02,69.0,0.0,0.0,-0.23,0.51,0.55,-0.28,0.35,0.32,0.0,-0.74,0.83,-1.02,0.1,0.0,0.0,0,2,0.0,40.510001579613146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.581733501952,0.0,0.0,0.0,0.0,0.28666666666666174,0.8088628835132567,-0.23552955017993327,1.5156623940980893,0.22551824638086618,-4.9984192276508805,0.0,0.0
68.72,68.83,68.83,68.52,2329,68.97,68.99,0.0,0.0,0.07,-0.09,0.07,-0.38,0.28,0.31,0.0,0.16,0.45,-0.39,0.45,0.0,0.0,0,2,0.0,47.784465335456304,0.0,0.0,0.0,-0.029048656499631113,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.07076923076922981,0.5741401164198692,-0.43260165488140956,1.4611473609669003,0.4297046841736228,-2.6694192276508804,0.0,0.0
68.74,68.94,68.95,68.71,4979,68.92,69.03,0.0,0.0,0.23,-0.06,0.25,-0.1,0.2,0.36,0.0,0.29,0.35,-0.38,0.12,0.0,0.0,0,2,0.0,51.1947124798581,0.0,52.63157894736826,0.0,0.5689277899343553,0.0,0.0,0.0,0.0,0.0,69.3726,0.0,0.0,0.0,-0.03642857142857281,0.449052465003021,-0.5219096078601666,1.4091607339537269,0.5375180168687246,1.8946641056822564,-159.34158495265982,5.140399164377023
68.88,68.94,69.08,68.82,3731,68.88,69.02,0.0,0.0,0.23,0.15,0.44,0.06,0.15,0.35,0.0,0.09,0.38,-0.26,0.44,0.0,0.0,0,2,0.0,51.1947124798581,0.0,52.63157894736826,0.0,0.6129597197898449,0.0,0.0,0.0,-0.023437500000000888,0.0,69.355548,0.0,0.0,0.0,-0.034000000000006025,0.43537121059277695,-0.503371210592789,1.3623522206855225,0.5362186679036688,1.607664105682319,-136.57850138799412,8.028285665088056
68.93,69.03,69.15,68.85,3110,68.87,68.98,0.0,0.0,0.36,0.22,0.54,0.1,0.13,0.29,0.0,0.15,0.44,-0.07,0.01,0.26,0.0,1,2,0.0,54.11283989850904,0.0,62.10526315789491,55.789473684210485,0.24687772291606408,0.0,0.0,0.0,0.11522633744855959,0.0,69.33883704,0.0,0.0,0.0,-0.11625000000000796,0.34216438677248107,-0.574664386772497,1.3304003534054931,0.6267957587658596,2.229664105682319,-77.08157261827917,16.719875045550367
69.14,69.1,69.14,68.96,1389,68.97,68.98,0.0,0.0,0.47,0.52,0.52,0.26,0.28,0.29,0.0,-0.06,0.26,0.7,-0.32,0.8,0.0,1,2,0.0,56.32838560410227,0.0,69.47368421052575,61.40350877192964,0.6701631701631611,0.0,0.0,0.0,0.18987341772151567,0.0,69.3224602992,0.0,0.0,0.0,-0.1752941176470557,0.2779876488752677,-0.6285758841693792,1.315295468350715,0.6933610952321669,3.001330772348913,-52.17991938709779,22.870775684399305
68.97,69.04,69.23,68.94,2246,69.01,68.97,0.0,0.0,0.38,0.28,0.65,0.23,0.33,0.28,0.0,0.1,0.42,0.31,-0.09,0.76,0.0,1,2,0.0,53.89516701066699,0.0,59.7701149425296,63.783020770316746,0.028977108084627983,0.0,0.0,0.0,0.17802197802197683,0.0,69.306411093216,0.0,0.0,0.0,-0.1088888888888988,0.33477709602863115,-0.5525548738064288,1.2872735627382474,0.6227149393807364,2.304296289590391,-63.977073760365705,21.4098334826228
68.96,68.87,69.13,68.87,1501,69.0,68.94,0.0,0.0,0.13,0.26,0.51,0.13,0.32,0.23,0.0,-0.13,0.38,-0.1,-0.48,0.01,0.0,1,2,0.0,47.54680875420167,0.0,40.22988505747203,56.491228070175794,-0.649163300634721,0.0,0.0,0.0,0.10690423162583562,0.0,69.29068287135168,0.0,0.0,0.0,0.057894736842101224,0.49058905935085306,-0.3747995856666506,1.2554984427153142,0.433099726723442,0.8032962895903911,-91.29034893745668,22.800651233417554
68.94,68.85,68.97,68.63,2066,68.98,68.91,0.0,0.0,0.1,0.23,0.28,-0.22,0.29,0.19,0.0,-0.13,0.49,-0.13,-0.39,0.31,0.0,1,2,0.0,46.83872231024257,0.0,37.93103448275823,45.97701149425328,-0.36179450072358904,0.0,0.0,0.0,-0.011363636363638907,0.0,69.27526921392464,0.0,0.0,0.0,0.07400000000001228,0.49710282438198305,-0.3491028243819585,1.2277372885554254,0.4125508082957085,1.4109433484138798,-84.15172766068018,17.39601004126503
