Open,Close,High,Low,Volume,MA5_Close,MA9_Close,MA21_Close,MA30_Close,Close_Prev_Close_Percentage,Open_Prev_Close_Percentage,High_Prev_Close_Percentage,Low_Prev_Close_Percentage,MA5_Close_Prev_Close_Percentage,MA9_Close_Prev_Close_Percentage,MA21_Close_Prev_Close_Percentage,Close_Open_Prev_Close_Percentage,High_Low_Prev_Close_Percentage,Close_Trend_5,Close_Trend_10,Close_Trend_15,Close_Trend_30,Time_Section_Index,Day,rsi_24,rsi_12,tsi,stoch,stoch_sig,roc,ao,aroon_indicator,trix,vortex_diff,psar_up,psar_down,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,bb_bbm_20,bb_bbh_20,bb_bbl_20,bb_bbw_20,bb_bbp_20,accDistIndexIndicator,forceIndexIndicator,mfi
164.07,162.52,165.2,162.32,25196,0.0,0.0,0.0,0.0,0.41,1.37,2.06,0.28,0.0,0.0,0.0,-0.96,1.78,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.696555555555253,0.0,0.0
163.18,162.82,163.29,161.05,21331,0.0,0.0,0.0,0.0,0.59,0.82,0.88,-0.5,0.0,0.0,0.0,-0.22,1.38,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999997726,0.14999999999997726,-0.4499999999999318,0.3688449007191916,0.75,-9.316957341269594,0.0,0.0
162.75,162.82,163.52,162.33,12809,0.0,0.0,0.0,0.0,0.59,0.55,1.03,0.29,0.0,0.0,0.0,0.04,0.74,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.2,0.0,0.0,0.0,-0.09999999999999432,0.1828427124745815,-0.38284271247457013,0.34764345191073726,0.6767766952966539,-11.57736910597587,0.0,0.0
162.45,163.52,164.1,162.37,16102,0.0,0.0,0.0,0.0,1.03,0.36,1.38,0.32,0.0,0.0,0.0,0.66,1.07,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.1426,0.0,0.0,0.0,-0.5999999999999943,0.13484692283495292,-1.3348469228349416,0.9020954122697609,0.9082482904638626,-6.27208586898142,0.0,0.0
163.82,163.88,164.42,163.47,12268,163.11,0.0,0.0,0.0,1.25,1.21,1.58,0.99,0.77,0.0,0.0,0.04,0.59,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.086348,0.0,0.0,0.0,-0.7680000000000007,0.24285310505530333,-1.7788531050553047,1.2394589056051106,0.8798771533466196,-7.950864816349802,0.0,0.0
164.1,163.61,164.42,163.09,9755,163.33,0.0,0.0,0.0,1.08,1.38,1.58,0.76,0.91,0.0,0.0,-0.3,0.82,0.67,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.03122104,0.0,0.0,0.0,-0.41499999999999204,0.5796356116688912,-1.4096356116688753,1.2189535361608912,0.7086191139404662,-10.077894891537529,0.0,0.0
163.68,164.23,164.29,163.09,8778,163.61,0.0,0.0,0.0,1.46,1.12,1.5,0.76,1.08,0.0,0.0,0.34,0.74,0.87,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.9771966192,0.0,0.0,0.0,-0.8871428571428339,0.28445991736072074,-2.0587456316463886,1.4345319960687217,0.8786022346689749,-2.1776948915375716,0.0,0.0
163.78,163.95,164.52,163.76,9429,163.84,0.0,0.0,0.0,1.29,1.19,1.64,1.17,1.22,0.0,0.0,0.11,0.47,0.7,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.92425268681598,0.0,0.0,0.0,-0.53125,0.6359448209274774,-1.6984448209274774,1.4284711159857453,0.7275755471472438,-6.892194891537747,0.0,0.0
164.14,163.36,164.18,163.04,6866,163.81,163.41,0.0,0.0,0.93,1.41,1.43,0.73,1.2,0.96,0.0,-0.48,0.7,-0.1,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.87236763307965,0.0,0.0,0.0,0.05222222222221262,1.1532834387170396,-1.0488389942726144,1.347587348757191,0.4762855046386706,-9.903598400309468,0.0,0.0
163.41,163.49,163.89,163.04,6247,163.73,163.52,0.0,0.0,1.01,0.96,1.25,0.73,1.16,1.03,0.0,0.05,0.53,-0.24,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.82152028041804,0.0,0.0,0.0,-0.06999999999999318,0.9756003060442993,-1.1156003060442856,1.279647908510944,0.5334735938748989,-9.536127812073879,0.0,0.0
