index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
2475,732.0697,732.86,732.71,732.0697,8892,709.755,732.3891449730095,246
2476,732.72,732.04,733.1,732.18,34088,709.755,732.833338673434,556
2477,732.3755,732.83,732.6,732.03,6838,709.755,732.3347120795553,115
2478,732.6496,732.01,732.99,732.1212,4584,709.755,732.633139594241,126
2479,732.4,732.8,732.56,732.0401,11098,709.755,732.3572840241484,206
2480,732.56,733.55,733.51,732.56,13786,709.755,733.1630593863341,286
2481,733.5457,731.29,733.755,733.53,1300,709.755,733.6524758461541,39
2482,733.7719,734.53,734.5,733.689,11816,709.755,734.1476189319569,256
2483,734.435,733.79,734.58,734.0,13408,709.755,734.3420484113965,240
2484,733.915,733.03,734.11,733.14,8047,709.755,733.763357189015,129
2485,732.76,733.77,733.38,732.7,4196,709.755,733.0655837940897,88
2486,733.57,734.52,734.5,733.57,4074,709.755,733.9793380461463,88
2487,734.58,733.73,734.69,733.8113,5966,709.755,734.2243005196109,98
2488,733.97,732.3624,734.4299,733.249,21515,709.755,733.8799213757841,392
2489,734.21,733.39,734.75,733.54,49087,709.755,734.2702519913616,687
2490,733.56,734.15,734.04,733.51,8336,709.755,733.8186110484651,155
2491,734.2225,734.89,734.88,734.18,13981,709.755,734.4696143265854,263
2492,734.78,734.12,735.6,734.2,72391,709.755,735.0571660606992,1413
2493,734.03,733.37,734.33,733.5,6189,709.755,733.8174975763447,124
2494,733.5,734.11,734.03,733.32,7620,709.755,733.5776443832019,156
2495,734.13,734.89,734.83,734.06,4175,709.755,734.5021654610779,114
2496,734.46,734.12,734.95,734.27,7511,709.755,734.6016929969379,130
2497,734.12,734.8799,734.7394,734.1191,2778,709.755,734.3808441684666,62
2498,734.7303,735.65,735.6,734.41,19709,709.755,735.0313059566697,367
2499,735.533,734.4874,735.75,735.4801,5174,709.755,735.6199896791649,47
2500,735.74,735.0,735.89,735.19,11637,709.755,735.5467552719773,198
2501,735.1921,734.22,735.1921,734.6331,3119,709.755,734.9361623276691,86
2502,734.4074,735.11,734.76,734.21,6363,709.755,734.5261617633195,104
2503,734.74,735.88,735.8,734.74,21194,709.755,735.2621770972919,366
2504,735.67,735.02,736.25,735.15,47924,709.755,735.8423706347548,806
2505,735.228,734.15,735.2743,734.29,9160,709.755,734.8630016375539,152
2506,734.15,734.89,734.83,733.65,16563,709.755,734.1099810420819,325
2507,734.8258,734.155,735.125,734.2,11689,709.755,734.6814837282913,217
2508,734.0789,734.89,734.64,733.99,10967,709.755,734.2516596516824,237
2509,734.6397,734.15,735.19,734.2785,14890,709.755,734.8680157958369,338
2510,734.279,734.9,734.84,733.8401,16027,709.755,734.1742349472768,353
2511,734.99,734.12,734.99,734.21,12341,709.755,734.8166323879747,59
2512,734.2791,734.89,734.75,734.02,5493,709.755,734.4255364099764,100
2513,734.89,735.63,735.62,734.38,27768,709.755,735.0308029026222,373
2514,735.63,734.89,736.0,735.1301,16706,709.755,735.5909276786783,284
2515,735.13,734.11,735.13,734.2,6044,709.755,734.4914754798148,118
2516,734.11,733.35,734.11,733.5101,6708,709.755,733.8297644305309,141
2517,733.35,734.5444,733.75,733.05,22923,709.755,733.3864571434801,231
2518,733.4,734.1,734.01,733.4,5591,709.755,733.7447804328383,80
2519,734.11,733.33,734.62,733.43,30685,709.755,733.9919884275718,593
2520,733.23,732.5806,733.259,732.6035,7445,709.755,733.0301701141709,196
2521,732.59,731.81,732.59,732.0,6079,709.755,732.270925481165,171
2522,732.0,732.62,732.5158,731.4303,13428,709.755,731.9124620196606,242
2523,732.76,731.88,732.95,731.94,6583,709.755,732.4381172717607,132
2524,731.99,731.14,732.1499,731.167,3182,709.755,731.5501679132623,78
2525,731.6379,731.95,731.6379,731.1,5976,709.755,731.3970631358768,92
2526,731.5619,731.19,731.65,731.26,3900,709.755,731.5150399230769,74
2527,731.26,732.0,731.62,731.1547,4980,709.755,731.3845018072291,78
2528,731.93,732.74,732.6799,731.51,46290,709.755,732.0252286368546,815
2529,732.8,733.52,733.4,732.7301,8136,709.755,733.0315326573251,146
2530,733.55,732.76,733.5875,732.96,18422,709.755,733.2915541906414,282
2531,732.77,732.0,732.96,732.14,5802,709.755,732.5709562047568,102
2532,732.0,731.16,732.4655,731.3,4885,709.755,731.982888986694,118
2533,731.15,731.92,731.15,731.13,425,709.755,731.1388235294118,5
2534,731.89,731.0,731.89,731.89,166,709.755,731.9187951807229,3
2535,731.88,731.0,731.88,731.88,286,709.755,731.873986013986,2
2536,732.0,731.0,732.0,732.0,104,709.755,731.9888461538461,2
2537,731.0,731.85,731.56,731.0,200,709.755,731.28,2
2538,731.85,731.0,731.85,731.68,654,709.755,731.7480428134556,12
2539,731.0,731.85,731.0,731.0,781,709.755,731.0,1
2540,731.85,730.99,731.85,731.85,293,709.755,731.85,2
2541,730.99,731.82,730.99,730.99,200,709.755,730.99,2
2542,731.54,732.57,732.441,731.5001,11175,709.755,731.8543257449666,255
2543,732.3083,731.78,733.0,731.99,28395,709.755,732.4400067018835,559
2544,731.78,735.0,732.09,731.3362,10465,709.755,731.6818075585285,200
2545,735.0,731.8901,735.0,735.0,432,709.755,735.0,1
2546,732.0752,732.76,732.55,732.0752,4733,709.755,732.3677605746883,156
2547,732.59,733.5,733.48,732.42,30645,709.755,732.8584770468264,474
2548,733.255,734.2697,734.13,733.255,12453,709.755,733.8003328434918,203
2549,734.29,733.5,734.78,733.66,21148,709.755,734.2750266975597,369
2550,733.75,734.33,734.17,733.33,7106,709.755,733.7128607796228,123
2551,734.33,733.5,734.43,733.6,23183,709.755,734.0785563559497,358
2552,733.6,732.62,733.72,732.78,12666,709.755,733.2604506395076,239
2553,732.62,731.88,733.0142,732.0,33765,709.755,732.4102268710193,498
2554,731.76,732.62,732.4992,731.4728,18131,709.755,731.9394529645355,406
2555,732.62,733.46,733.33,732.4,12791,709.755,732.8833811508091,233
2556,733.2764,732.6029,733.463,732.77,6403,709.755,733.1857087927532,81
2557,732.6029,733.34,733.0,732.6029,2791,709.755,732.9372552131853,76
2558,732.96,732.6,733.265,732.61,4073,709.755,732.976543260496,72
2559,732.51,731.83,732.73,732.0,7536,709.755,732.3141560244154,168
2560,731.83,731.0,731.8396,731.19,10621,709.755,731.5286379154506,159
2561,731.11,730.25,731.2,730.3,14852,709.755,730.6948992256931,312
2562,730.25,730.99,730.91,730.25,5073,709.755,730.4526277744926,57
2563,731.045,731.73,731.51,730.64,8269,709.755,731.0231613012456,194
2564,731.4929,730.8,731.54,731.04,1761,709.755,731.3427407722886,44
2565,730.8,730.05,730.8,730.09,2369,709.755,730.5800555508654,54
2566,730.05,730.9388,730.58,729.53,14809,709.755,730.0229622796934,370
2567,729.545,728.8038,729.88,729.0,16497,709.755,729.3845998484572,359
2568,728.8038,728.0,729.0,728.25,8666,709.755,728.5325465612743,229
2569,728.1,728.8,728.52,728.0,7487,709.755,728.1999485107518,132
2570,728.791,728.0,729.33,728.52,13249,709.755,728.9427690391732,236
2571,728.6223,728.13,728.81,728.5,1526,709.755,728.5882614678899,33
2572,728.35,728.88,728.6882,728.35,688,709.755,728.5422341569767,18
2573,728.53,728.1248,728.53,728.28,1198,709.755,728.4784771285476,45
2574,728.135,728.88,728.75,727.99,11155,709.755,728.2029220797855,234
2575,728.9999,729.62,729.53,728.671,10067,709.755,729.1572007648755,167
2576,729.4,728.86,730.3099,728.99,44108,709.755,729.6233662306144,899
2577,729.0,728.1,729.0,728.2,9997,709.755,728.6717349804933,240
2578,728.07,729.0355,728.64,728.0,6525,709.755,728.2199614099619,146
2579,728.395,728.26,728.395,728.395,260,709.755,728.6451346153847,4
2580,728.19,727.5,728.25,727.68,4252,709.755,727.8256041627466,75
2581,727.5,726.77,727.64,727.0,10014,709.755,727.2383869982024,330
2582,726.77,726.01,727.0,726.1,4546,709.755,726.4326531456226,169
2583,726.27,725.28,726.3169,725.35,6656,709.755,725.860703921274,224
2584,725.57,726.499715,725.977,725.27,4793,709.755,725.6410118714789,110
2585,725.39,729.4,725.695,725.1027,7969,709.755,725.4290838499188,152
2586,725.2,726.28,726.2,725.1246,7968,709.755,725.8450485065262,169
2587,726.2,725.54,726.6458,725.56,19002,709.755,726.1849252078728,320
2588,725.53,724.8,725.78,725.0,14321,709.755,725.179625456324,385
2589,725.0,725.5918,725.42,724.393,22252,709.755,724.8603231979145,360
2590,725.51,726.32,726.006,725.2,16629,709.755,725.5952139876116,267
2591,726.37,727.05,727.02,726.37,3171,709.755,726.705091769158,122
2592,727.25,727.93,727.77,727.25,4193,709.755,727.3840782256143,96
2593,727.93,727.07,728.23,727.3231,5458,709.755,727.8868904177356,77
2594,727.07,727.88,727.61,726.91,16403,709.755,727.2696632018531,325
2595,727.6,727.13,727.77,727.269,2529,709.755,727.47917485172,47
2596,727.17,726.33,727.47,726.55,7219,709.755,727.0528598005263,142
2597,726.4362,725.6,726.78,725.63,19986,709.755,726.2338507054936,425
2598,725.5,724.86,725.84,725.0,20028,709.755,725.3499426303177,334
2599,724.685,725.63,725.515,724.5501,18864,709.755,724.8754192589063,295
2600,725.4911,724.84,725.56,725.05,3739,709.755,725.3118680395826,73
2601,724.84,725.57,725.47,724.76,4672,709.755,725.137219370719,103
2602,725.57,726.34,726.0,725.41,5270,709.755,725.743813681214,98
2603,726.01,727.17,727.0,726.01,30210,709.755,726.5281111784179,575
2604,726.93,727.9,727.83,726.93,22562,709.755,727.4297510593036,398
2605,727.82,728.64,728.6,727.7209,10195,709.755,728.0780039921533,169
2606,728.4916,727.91,728.62,727.96,5636,709.755,728.2005231369768,75
2607,727.91,730.5161,728.0,727.395,5911,709.755,727.7508211639321,98
2608,727.29,726.752,727.6308,726.8901,12788,709.755,727.2730837816704,178
2609,726.842,726.0,727.2,726.08,35063,709.755,726.643885737102,522
2610,726.08,726.79,726.6769,725.553,8188,709.755,726.1367185149002,191
2611,726.695,727.55,727.5,726.09,21349,709.755,726.7507962761733,369
2612,727.435,728.28,728.01,727.3241,4553,709.755,727.7328441906434,93
2613,728.28,727.5,728.3,727.61,8812,709.755,727.9500732977758,177
