index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
0,439.74,439.5,439.6,439.6,336,429.92,439.7191071428571,14
1,439.5,440.0,439.62,439.19,9984,429.92,439.4975010616985,309
2,440.0,439.3,440.0,439.58,399102,429.92,439.99174801178754,453
3,439.3,439.83,439.3,439.3,230,429.92,439.3,1
4,439.82,439.3,439.94,439.72,17913,429.92,439.81629318372103,188
5,439.73,439.81,439.73,439.65,1782,429.92,439.6905667789002,16
6,439.88,439.3,440.0,439.72,7485,429.92,439.89872006680054,152
7,439.9,439.3,440.0,439.83,4017,429.92,439.9669504605429,107
8,439.85,439.3,440.0,439.68,17366,429.92,439.91341704480027,280
9,440.0,439.3,440.0,439.76,5393,429.92,439.86662508807717,85
10,439.32,439.84,439.32,439.32,170,429.92,439.3117647058824,3
11,439.84,439.3,440.0,439.76,1447,429.92,439.8320480995162,22
12,440.0,439.55,440.0,439.58,18026,429.92,439.8833733773435,361
13,439.58,440.0,439.92,439.51,6861,429.92,439.67847861827715,105
14,439.7164,439.51,440.0,439.56,8966,429.92,439.74087564131105,469
15,439.74,439.96,439.74,439.53,2896,429.92,439.64548687845263,141
16,439.661,439.51,439.7356,439.55,4098,429.92,439.65174482674473,83
17,439.51,440.0,439.7,439.452,11551,429.92,439.590004683577,187
18,439.65,439.5361,439.65,439.65,199,429.92,439.64749045226125,10
19,439.53,440.0,439.53,439.3901,4615,429.92,439.4714159263272,50
20,439.6274,440.0,439.6274,439.39,4599,429.92,439.47623444226997,37
21,439.44,440.0,439.44,439.44,322,429.92,439.4719642857143,27
22,439.5,439.05,439.59,439.1,12042,429.92,439.4439647151638,254
23,439.18,440.0,439.2,439.05,6614,429.92,439.1120915784701,131
24,439.06,439.55,439.4,439.0,19826,429.92,439.169615741955,419
25,439.7,439.98,439.87,439.68,3463,429.92,439.7352411781692,37
26,439.79,439.4,439.99,439.64,3649,429.92,439.7793322828172,60
27,439.4,440.0,439.615,439.4,2527,429.92,439.4937752275426,48
28,439.39,439.0,439.39,439.15,4074,429.92,439.3197527245949,55
29,439.0,439.7,439.0502,438.8,11582,429.92,438.9624634864446,263
30,439.7,439.03,439.7,439.7,172,429.92,439.7,1
31,439.03,440.0,439.1,438.98,2621,429.92,439.0423655093476,18
32,439.0,440.0,439.11,439.0,202,429.92,439.0544554455446,2
33,439.05,439.56,439.46,438.8811,4465,429.92,439.20507569988814,72
34,439.03,439.54,439.0581,439.03,437,429.92,439.0386128146454,9
35,439.56,439.018,439.82,439.2,7607,429.92,439.5564065728935,149
36,439.27,438.56,439.27,438.75,3034,429.92,438.83999835201064,87
37,438.64,439.4723,438.67,438.5,2826,429.92,438.56563340410474,74
38,438.8701,439.53,439.26,438.68,13670,429.92,438.95023460863194,237
39,439.001,439.7,439.001,439.0,799,429.92,439.0002127659575,11
40,438.98,440.0,439.0,438.88,2476,429.92,438.97173457189007,43
41,439.0,440.0,439.0,439.0,343,429.92,438.96535102040815,7
42,439.0,440.0,439.0,439.0,125,429.92,439.01856000000004,2
43,438.89,440.0,438.89,438.88,537,429.92,438.88823091247673,15
44,440.0,438.825,440.0,440.0,690,429.92,440.0,17
45,438.9098,440.0,438.9098,438.7478,373,429.92,438.79459463806967,5
46,438.8007,438.52,439.0,438.59,3331,429.92,438.8664778745122,40
47,438.52,440.0,438.81,438.51,2373,429.92,438.69224155077956,33
48,438.89,440.0,438.89,438.89,100,429.92,438.89,1
49,438.6654,438.28,438.787,438.5,6578,429.92,438.6151475980539,132
50,438.28,438.73,438.625,438.16,5696,429.92,438.33382312148893,137
51,438.43,438.2375,438.615,438.43,2520,429.92,438.56486920634916,31
52,438.45,438.68,438.565,437.8,82091,429.92,438.1176248529075,1432
53,438.565,438.15,438.8,438.26,3387,429.92,438.5345617360498,75
54,438.19,438.65,438.54,437.9089,10934,429.92,438.09773475397856,213
55,438.32,438.0877,438.32,438.32,231,429.92,438.308354978355,8
56,438.3637,438.57,438.51,437.8,62389,429.92,438.0748716119828,964
