index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
0,568.0,567.71,568.0,568.0,150,576.83,568.0,5
1,567.76,568.4765,567.76,567.76,724,576.83,567.9540883977901,52
2,567.6855,567.1035,567.8672,567.21,6181,576.83,567.52792913768,263
3,567.9069,568.24,567.9069,567.9069,153,576.83,567.6872196078431,9
4,568.48,567.81,568.48,568.48,203320,576.83,568.48,1
5,568.48,567.81,568.48,568.48,958,576.83,567.9956784968685,28
6,568.48,567.8303,568.48,568.48,479,576.83,568.3593528183717,16
7,568.43,567.388,568.57,568.12,5473,576.83,568.3855782934404,206
8,568.25,568.57,568.25,568.25,227,576.83,568.325336123348,9
9,568.405,567.99,568.405,568.405,285,576.83,568.5009824561403,21
10,567.99,568.5699,567.99,567.99,101,576.83,567.9924752475248,2
11,568.3533,567.905,568.57,568.32,1532,576.83,568.4550964751958,55
12,568.46,567.55,568.46,568.45,590,576.83,568.4445394915256,87
13,568.315,567.55,568.54,568.315,1843,576.83,568.4493932718398,193
14,568.54,568.0,568.54,568.54,811,576.83,568.5015967940814,64
15,568.66,568.0,568.66,568.66,147,576.83,568.6552374149659,5
16,568.75,567.55,568.77,568.55,4801,576.83,568.6889195792544,158
17,568.55,568.0,568.55,568.55,300,576.83,568.5628333333333,4
18,568.55,568.5866,568.55,568.55,501,576.83,568.5489021956087,2
19,568.48,567.1,568.55,568.48,2180,576.83,568.5222708715596,88
20,568.41,567.1,568.59,568.06,5019,576.83,568.4351952978683,159
21,568.13,567.1,568.13,568.01,931,576.83,568.209484962406,27
22,568.71,571.63,568.71,568.71,756,576.83,568.6795433862433,31
23,568.76,567.1,568.82,568.76,3380,576.83,568.7684310650885,85
24,568.49,569.08,569.02,568.45,2520,576.83,568.8613670634923,114
25,569.1307,568.48,569.1307,569.0197,942,576.83,569.0573262208069,40
26,568.9973,569.058,568.9973,568.9973,601,576.83,568.9964392678868,2
27,569.145,568.48,569.145,569.145,212,576.83,569.144091509434,11
28,569.22,568.48,569.22,569.22,651,576.83,569.2160408602151,15
29,569.22,568.48,569.26,569.22,1419,576.83,569.2488759689919,33
30,569.1,568.0,569.249,569.1,668,576.83,569.2016212574849,9
31,569.2143,568.55,569.25,569.075,4823,576.83,569.2336651461746,38
32,568.55,569.145,568.55,568.55,284,576.83,568.4826056338029,24
33,569.25,568.395,569.25,569.25,203,576.83,569.2484482758621,5
34,569.25,568.3501,569.25,569.2,1116,576.83,569.2319713261647,15
35,569.08,568.55,569.08,569.07,870,576.83,569.0832412643679,36
36,569.075,567.1,569.075,569.075,261,576.83,569.1047509578544,5
37,569.11,568.48,569.11,569.11,277,576.83,569.0986642599278,10
38,569.25,567.1,569.25,569.25,303,576.83,569.2464128712871,7
39,569.0628,567.55,569.07,568.77,5384,576.83,568.9126271916786,163
40,569.11,569.35,569.29,568.745,5161,576.83,569.079404844023,128
41,569.28,567.55,569.28,569.28,976,576.83,569.2869262295081,25
42,569.24,567.1,569.24,569.08,1555,576.83,569.0876527331188,23
43,568.76,567.55,568.8,568.76,1036,576.83,568.901282818533,27
44,568.76,568.5,568.76,568.55,2152,576.83,568.7449674721189,51
45,568.42,567.67,568.575,568.3301,487,576.83,568.5231603696099,20
46,568.5963,567.55,568.5963,568.5963,282,576.83,568.5984893617021,12
47,568.956,568.0,568.956,568.57,331,576.83,568.7844894259819,5
48,568.55,568.0,568.55,568.55,136,576.83,568.5639470588235,11
49,568.59,567.55,568.7,568.55,1747,576.83,568.6021270177447,61
50,568.67,568.8565,568.7,568.21,13594,576.83,568.5039492790946,308
51,568.735,569.43,569.31,568.735,4535,576.83,568.951531488423,102
52,569.5,568.81,569.5,569.085,1259,576.83,569.3191102462272,40
53,569.22,569.5,569.23,568.795,5607,576.83,569.1658649010167,96
54,569.13,568.4,569.59,569.13,1127,576.83,569.4439218278617,33
55,569.41,568.4,569.41,569.38,864,576.83,569.3880787037037,12
56,569.0,568.4,569.265,569.0,634,576.83,569.1658832807572,12
57,569.2852,568.4,569.2852,569.2852,154,576.83,569.2741493506494,6
58,569.29,568.4,569.29,569.22,386,576.83,569.323639896373,9
59,569.22,568.4,569.35,568.91,4366,576.83,569.154510558864,105
60,569.1,568.4,569.53,568.89,5520,576.83,569.1645683152174,180
61,569.1394,568.5,569.1394,569.1394,201,576.83,569.1835164179105,5
62,569.33,568.4,569.95,569.33,6047,576.83,569.5900374731273,123
63,569.94,568.5,570.0,569.94,7708,576.83,569.9636843020232,153
64,569.9659,568.5,569.9659,569.9659,100,576.83,569.9659,1
65,569.825,568.5,569.825,569.67,272,576.83,569.7997794117647,7
66,569.98,568.5,569.98,569.97,502,576.83,569.9708864541833,10
67,569.66,568.5,569.99,569.66,1373,576.83,569.8684151493082,28
68,569.99,568.5,570.0,569.99,525,576.83,569.9961904761906,11
69,570.0,568.5,570.28,570.0,9449,576.83,570.0183587681238,200
70,570.16,568.5,570.16,570.16,203,576.83,570.1561576354679,4
71,570.16,568.5,570.16,570.16,322,576.83,570.1650621118013,11
72,570.16,568.5,570.16,570.16,116,576.83,570.1819827586206,5
73,569.95,568.45,569.95,569.882,1216,576.83,569.9366200657894,25
74,569.7355,568.45,570.02,569.7355,2311,576.83,569.9406236261359,15
75,569.976,568.45,569.976,569.976,307,576.83,569.9868684039087,8
76,569.84,568.45,569.84,569.8,995,576.83,569.8309045226131,13
77,570.0,568.45,570.0,570.0,408,576.83,570.0006220588236,8
78,569.983,568.45,569.983,569.983,175,576.83,569.983,1
79,569.8701,568.45,570.05,569.87,724,576.83,569.9751395027623,36
80,570.08,568.4,570.08,570.08,186,576.83,570.0475215053764,6
81,569.975,568.4,569.975,569.975,167,576.83,569.9942772455089,8
82,569.96,568.5,569.96,569.87,561,576.83,569.904384848485,21
83,569.75,568.48,569.75,569.75,178,576.83,569.79297752809,10
84,569.73,568.54,569.73,569.73,739,576.83,569.7258592692828,10
85,569.6506,568.54,569.6506,569.6506,866,576.83,569.545123556582,26
86,569.3,568.54,569.3,569.3,174,576.83,569.3081609195402,3
87,569.8499,569.28,569.8499,569.8499,123,576.83,569.8477528455285,4
88,569.4054,568.54,569.4054,569.29,4111,576.83,569.4026927268303,6
89,569.78,568.54,569.78,569.78,109,576.83,569.7735321100918,3
90,569.79,568.66,569.79,569.79,235,576.83,569.7295382978723,4
91,569.53,568.66,569.53,569.53,307,576.83,569.5352762214983,3
92,569.2201,568.55,569.2201,569.2201,550,576.83,569.2201,1
93,569.5765,568.66,569.5765,569.5765,219,576.83,569.5765,1
94,569.77,568.55,569.77,569.77,131,576.83,569.6979694656488,4
95,569.53,568.66,569.53,569.53,264,576.83,569.53,1
96,569.2748,568.55,569.2748,569.2748,200,576.83,569.2748,1
97,569.591,568.55,569.591,569.591,205,576.83,569.5944224390244,4
98,569.2201,568.55,569.2201,569.2201,101,576.83,569.2231683168317,2
99,569.22,568.55,569.22,569.01,980,576.83,569.2012959183676,29
100,569.06,569.21,569.06,569.04,552,576.83,569.0475905797102,13
101,569.06,568.5,569.59,569.01,368,576.83,569.2198913043477,6
102,569.23,568.59,569.23,569.23,455,576.83,569.2278208791209,6
