index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
0,980.0,980.59,980.0,980.0,946,972.91,979.9989429175477,10
1,980.0,981.0,980.0,980.0,115341,972.91,980.0000514994668,7
2,981.9,982.88,981.9,981.9,129,972.91,981.7856860465117,2
3,981.39,982.91,981.39,981.39,101,972.91,981.3880198019802,2
4,982.91,981.545,982.91,982.91,100,972.91,982.91,1
5,982.879,981.6,982.879,982.879,294,972.91,982.7478877551018,9
6,981.6,980.3923,981.6,981.6,100,972.91,981.6,1
7,981.7003,982.6978,981.7003,981.7003,267,972.91,981.7147292134831,5
8,981.695,982.6978,981.695,981.695,100,972.91,981.695,1
9,981.7186,980.0,981.7186,981.7186,296,972.91,981.9905344594597,20
10,982.36,980.55,982.36,982.36,110,972.91,982.349109090909,2
11,982.5627,981.445,982.5627,982.5627,400,972.91,982.5627,1
12,980.49,982.88,981.46,980.49,984,972.91,981.1623221544714,23
13,982.0,980.87,982.0,981.44,326,972.91,981.611134969325,7
14,981.41,982.88,981.41,981.41,117,972.91,981.3466581196581,4
15,981.39,980.48,981.39,980.97,2454,972.91,981.4728076609621,97
16,980.5,982.879,980.5,980.5,205,972.91,980.5689268292683,9
17,981.23,982.88,981.23,981.23,201,972.91,981.5141641791045,4
18,981.47,982.44,981.71,981.45,970,972.91,981.5476298969074,19
19,982.44,981.18,982.44,982.44,100,972.91,982.44,1
20,981.18,982.88,981.2,980.76,684,972.91,981.0582456140348,25
21,980.76,982.585,980.76,980.67,222,972.91,980.7890990990992,6
22,982.585,981.53,982.585,982.585,100,972.91,982.585,1
23,981.225,980.0,981.225,981.225,301,972.91,981.4209521594685,11
24,980.0,981.4,980.0,980.0,297,972.91,979.9999999999999,20
25,981.4,982.5974,981.43,980.43,2496,972.91,980.8144266826922,51
26,980.43,982.3141,980.43,980.43,310,972.91,980.5606451612903,6
27,981.922,981.18,981.922,981.922,340,972.91,981.9832238235294,5
28,980.49,982.99,980.49,980.49,192,972.91,980.81875,3
29,980.7,983.0,980.99,980.64,642,972.91,980.8064135514018,12
30,980.88,983.0,981.225,980.88,420,972.91,981.1256357142857,9
31,980.88,980.0,981.51,980.88,497,972.91,981.2271428571429,8
32,980.91,982.98,980.91,980.26,3550,972.91,980.5312918591551,78
33,980.445,981.98,980.445,980.26,242,972.91,980.3899578512397,4
34,980.64,983.0,980.81,980.0,8460,972.91,980.2135683451539,203
35,981.23,980.05,981.23,981.23,100,972.91,981.23,1
36,980.05,981.77,980.05,980.05,103,972.91,980.0502883495145,2
37,980.06,981.77,980.06,979.53,2962,972.91,979.8720003376098,55
38,979.65,981.59,979.65,979.57,204,972.91,979.6139215686275,3
39,979.81,981.5899,979.81,979.81,110,972.91,979.8272727272727,3
40,979.79,981.44,980.0,979.5,2165,972.91,979.7091526558889,97
41,979.32,981.532,979.32,979.05,2613,972.91,979.315573287409,97
42,979.6,981.135,980.15,979.2,610,972.91,979.5653359016392,9
43,979.05,981.135,979.12,979.05,203,972.91,979.0936453201971,3
44,981.1365,979.422,981.1365,981.1365,150,972.91,981.1359999999999,2
45,979.05,978.44,979.5,978.5,6818,972.91,979.069131446173,291
46,978.51,979.4588,978.67,978.4,1021,972.91,978.4898513222329,74
47,978.2,979.21,978.44,978.2,450,972.91,978.317088888889,6
48,978.39,978.21,978.39,978.39,107,972.91,978.4193457943925,7
49,978.44,981.5899,979.2611,978.115,1416,972.91,978.4711045903953,43
50,981.5899,978.55,981.5899,981.5899,2010,972.91,981.5862686567164,2
51,978.58,981.1017,978.74,978.58,613,972.91,978.6085154975531,16
52,978.74,980.5066,978.74,978.35,1509,972.91,978.4834831676607,44
53,978.3,980.4231,979.3,978.3,3679,972.91,978.8288831204122,112
54,979.395,978.3,979.61,978.56,3508,972.91,979.0130891961231,80
55,978.48,980.0,978.48,978.48,591,972.91,978.4796615905246,4
56,978.9099,980.0,978.9099,978.9099,115,972.91,978.8859739130434,5
57,978.1,979.7401,978.1,978.1,111,972.91,978.0985585585586,4
58,978.365,979.9465,978.365,978.365,195,972.91,978.3291538461538,4
59,978.05,980.0,978.05,978.0,872,972.91,978.0691708715602,56
60,978.0,979.99,978.0038,978.0,227,972.91,978.0196916299559,7
61,978.05,979.99,978.05,978.05,584,972.91,978.2688075342464,15
62,978.47,979.9694,978.62,978.47,642,972.91,978.4792757009345,17
63,978.72,980.0,978.72,978.72,205,972.91,978.7231707317075,4
64,978.53,980.0,978.8,978.53,648,972.91,978.6233641975309,14
65,978.19,977.92,978.19,978.0,3780,972.91,978.0568049206341,186
66,977.9,979.941,978.02,977.725,858,972.91,977.9693009324009,28
67,977.9,980.0,978.28,977.84,1344,972.91,978.0529858630953,33
68,978.06,980.0,978.37,977.985,958,972.91,978.2455560542797,19
69,978.075,979.5742,978.37,977.81,867,972.91,978.0541680507499,31
70,977.81,979.2979,977.94,977.78,1273,972.91,977.8143560094268,40
71,977.82,979.3638,977.82,977.6,438,972.91,977.7155294520549,15
72,978.22,979.3638,978.22,978.22,1000,972.91,978.22,1
73,977.5237,979.3361,977.554,977.5237,601,972.91,977.5883058236273,7
74,977.5,977.0,977.5,977.5,934,972.91,977.5378662740901,41
75,977.325,979.3251,977.325,977.24,421,972.91,977.3023515439429,22
